Nation,Boat no,Helm,Crew,Club,,Points,Place
GER,4333,Gernot,Mayer,EKSG,,19,1
GER,4044,Hampe,,ETUF,,25,2
FRA,4342,Simon,,CYVM,,33.4,3
GER,3000,Zander,,EKSG,,34.7,4
FRA,4036,Taillandier,,YCP,,38.7,5
GER,4320,Steiner,,YCS,,38.7,6
FRA,3850,Quehen,,YCB,,42,7
FRA,4060,Timal,,YCA,,55.7,8
FRA,4427,Beugnet,,YCMN,,66,9
FRA,3646,Wastiaux,,CYVM,,66.7,10
FRA,3344,Lallemand,,YCIF,,78,11
FRA,2992,Chaffaux,,CSNAL,,83,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
,,,,,,,21
,,,,,,,22
,,,,,,,23
,,,,,,,24
,,,,,,,25
,,,,,,,26
,,,,,,,27
,,,,,,,28
,,,,,,,29
,,,,,,,30
,,,,,,,31
,,,,,,,32
,,,,,,,33
,,,,,,,34
,,,,,,,35
,,,,,,,36
,,,,,,,37
,,,,,,,38
,,,,,,,39
,,,,,,,40
,,,,,,,41
,,,,,,,42
,,,,,,,43
,,,,,,,44
,,,,,,,45
,,,,,,,46
,,,,,,,47
