DEN,Sejlnr.,Besætning,,Klub,1,2,3,4,5,6,I alt,Plac.
DEN,8807,Tom Bøjland,Jakob Karbo,FAS,1,1,1,1,1,1,5,1
DEN,8440,Per Larsen,Henrik Andersen,FAS,3,2,3,2,4,2,12,2
DEN,8581,Jon Andersen,Lasse Andreasen,Reersø,4,3,4,3,DNC,DNC,25,3
DEN,8561,Peter Møller,Uffe Andersen,NSK,DNC,DNC,6,5,2,3,27,4
DEN,7882,Jesper Høeg,Henrik Boye,KS,DNC,5,7,6,3,6,27,5
DEN,8082,Kenneth Eriksen,Frank Hellensberg,HS,DNC,4,8,4,6,5,27,6
DEN,8330,Mark Orton,Christian Stormark,HS,DNC,8,5,8,5,4,30,7
DEN,8609,Martin Frederichsen,Lars Ivensen,ASK,5,6,DNC,7,7,7,32,8
DEN,8669,Jakob Bojsen-Møller,Søren Overbeck,HS,2,9,2,DNC,DNC,DNC,35,9
DEN,7934,Johnny Rodholm,Morten Andersen,HS,DNC,7,9,9,8,8,70,10
