Nation SailNo,HelmName,Name Crew,,,Cannes,Riva del Garda,Kiel,La Rochelle,Total,Nett,Rank
GER,9071,Dr. Wolfgang Hunger,Julien Kleiner,,(113.0 DNC),1,1,,115,2,1st
GER,9054,Morten Bogacki,Lars Dehne,,4,-7,2,,13,6,2nd
GER,9090,Tobias Schadewaldt,Martin Schoeler,,-7,3,4,,14,7,3rd
GBR,9094,Ian Pinnell,Ian Mitchell,,1,8,(113.0 DNC),,122,9,4th
GER,9102,Maike Schomaeker,Holger Jess,,(113.0 DNC),5,5,,123,10,5th
GER,9070,Stefan Koechlin,Andreas Achtesberg,,(113.0 DNC),4,8,,125,12,6th
DEN,9062,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,(113.0 DNC),2,11,,126,13,7th
GER,8990,Frieder Achterberg,Wolfgang Stueckl,,8,6,-30,,44,14,8th
GER,9035,Stefan Boehm,Gerald Roos,,(113.0 DNC),10,6,,129,16,9th
GER,8875,Jens Findel,Johannes Tellen,,(113.0 DNC),14,3,,130,17,10th
SUI,8954,Ueli Marti,Philippe Jacot,,10,11,(113.0 DNC),,134,21,11th
GER,8928,Stephan Schweiger,Axel Priegann,,9,-25,15,,49,24,12th
FRA,9075,Philippe Boite,Pierre Jean Gallo,,6,(113.0 DNC),19,,138,25,13th
GER,8927,Ulf Plessmann,Heini Rix,,(113.0 DNC),16,10,,139,26,14th
SUI,9096,Cedric Bart,Laurent Grob,,14,12,-21,,47,26,15th
SUI,8569,Caroline Jacot,Rene Betschen,,18,9,(113.0 DNC),,140,27,16th
GER,9059,Sophie Heyer,Sebastian Salein,,11,(113.0 DNC),16,,140,27,17th
GER,9020,Tim Boeger,Markus Schoener,,(113.0 DNC),13,17,,143,30,18th
GER,8975,Alexander Holzappel,Sefan Worm,,16,17,(113.0 DNC),,146,33,19th
GER,9011,Micki Daisenberger,Tobias Bolduan,,19,20,-22,,61,39,20th
DEN,8958,Nikolaj Hoffmann Buhl,Henrik Buhl,,(113.0 DNC),21,20,,154,41,21st
GER,8849,Moritz Bohnenberger,Arne Lanatowitz,,13,29,(113.0 DNC),,155,42,22nd
GER,8988,Olivier Thies,Christoph Engel,,21,(113.0 DNC),26,,160,47,23rd
GER,9043,Volker Niedik,Angela Stenger,,(113.0 DNC),24,25,,162,49,24th
FRA,8716,Aline Martin,Fabrice Toupet,,23,(113.0 DNC),27,,163,50,25th
GER,9040,Norbert Dasenbrook,Anne Lunatowitz,,(113.0 DNC),18,34,,165,52,26th
AUS,9028,Alexander Earle,John Mclean,,(113.0 DNC),31,24,,168,55,27th
FRA,8870,Christian Silvestre,Nicolas Auberger,,30,(113.0 DNC),29,,172,59,28th
GER,8807,Maximilian Weiss,Jonas Vogt,,22,(113.0 DNC),43,,178,65,29th
