Nation,SailNo,Helmname,Crewname,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Rank
RSA,8486,Thomas Funke,Peter Funke,PYC,2,2,2,2,1,1,2,(3.0),1,16,13,1
RSA,8789,Alexander Ham,Warwick Ham,PSC,1,1,1,3,3,(OCS),1,1,6,34,17,2
RSA,8445,Kyle Klaas,Robert Von Gruenwaldt,PSC,3,(4.0),3,1,2,2,3,2,2,22,18,3
RSA,8471,James Largier,Richard Hutton Squire,TSC,4,3,4,6,4,4,4,7,(8.0),44,36,4
RSA,8121,Jay D' Engel,Kobus Holzhausen,BYC,5,5,6,4,6,6,10,(11.0),3,56,45,5
RSA,8675,Justin Clark,Euan Hurter,PYC,7,6,5,5,5,8,(9.0),5,5,55,46,6
RSA,9016,David Shilton,Craig Nolan,DFSC,6,(DNC),8,8,9,9,6,8,4,75,58,7
RSA,7276,Anthony Parker,Ferdinand Holm,GLYC,(DNC),DNS,7,7,7,5,8,9,11,88,71,8
RSA,4437,Sean Ballantyne,Jonathan Ham,VYC,8,7,9,9,11,10,7,10,(13.0),84,71,9
RSA,8707,Albrecht Holm,Rudolph Holm,PSC,(DNC),DNC,DNC,DNC,8,3,5,4,9,97,80,10
RSA,8520,Grant Caroline,Michael Caroline,BSC,(DNC),9,10,10,12,11,11,13,7,100,83,11
RSA,8091,Grant Ballantyne,Evert Groenewald,VYC,(DNC),DNC,DNC,DNC,10,7,12,6,10,113,96,12
RSA,18481*,Matthew Russel,Andrew Russel,ZLYC,(DNC),8,11,11,14,12,13,12,DNF,115,98,13
RSA,5183,Gary Hughes,,VCA,(DNC),DNC,DNC,12,13,13,14,14,12,129,112,14
RSA,6266,Andrew Arthur,Andrew Arnold,ESC,(DNC),DNC,12,DNF,15,14,15,16,DNF,140,123,15
RSA,6707,Alan Lewthwaite,Graeme Tosh,DAC,(DNC),DNC,DNF,DNC,DNS,DNC,DNF,15,DNF,151,134,16
