Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
USA,9080,Howard Hamlin,Andrew Zinn,,1,[12/DNF],1,4,1,,19,7,1
USA,8808,Augie Diaz,Luke Lawrence,,3,2,3,[7],3,,18,11,2
CAN,8970,Robert Tennant,Rich Mundell,,4,3,[8],1,4,,20,12,3
USA,8878,Edward Conrads,,,[7],1,5,6,2,,21,14,4
USA,9082,Jeff Miller,,,6,5,2,[8],5,,26,18T,5
USA,7611,JB Turney,Pat Diola,,5,[6],4,3,6,,24,18T,6
USA,7156,Aaron Ross,Rob Waterman,,2,4,6,[12/DNF],12/DNS,,36,24,7
USA,8937,Tim Murphy,,,[12/DNC],12/DNC,9,2,7,,42,30,8
USA,6984,Antoine Laussu,,,[12/DNC],12/DNC,10,5,12/DNS,,51,39,9
USA,8841,John Condon,,,[12/DNC],12/DNC,7,12/DNF,12/DNF,,55,43,10
USA,7069,Christopher O'Leary,,,8,[12/DNF],12/DNC,12/DNC,12/DNC,,56,44,11
