Sail,Nation,Skipper,crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,
CAN,8192,Phil Cragg,,Kitsilano YC,1,1,4*,1,2,1,6,1
USA,8799,Angus Brackett,,SYC,4*,3,3,2,1,3,12,2
USA,8823,Mats Elf,,CYC Seattle,2,2,5*,4,3,2,13,3
CAN,8866,Cynthia Des Brisay,,Kitsilano Yacht Club,3,5,1,5,6*,5,19,4
USA,8868,Piper Dunlap,,PTSA,5,6,2,3,4,8*,20,5
USA,8960,Bruce Van Deventer,,CYC-Seattle,9*,4,6,7,5,4,26,6
USA,8617,Paul Pihl,,,6,8*,8,8,7,6,35,7
USA,7206,Anne Fitzpatrick,Christian Pittack,CYC-Seattle,8,7,7,6,9*,7,35,8
GBR,0,Patrick McGale,,,7,9,10*DNF,9,8,9,42,9
