Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Total,Pos
USA,9002,Mike Holt,,,1,2,3,1
USA,8841,Holt Condon,,,3,1,4,2
USA,7069,Christopher O'Leary,,,2,4,6,3
USA,7156,Aaron Ross,,,4,3,7,4
USA,7611,JB Turney,,,7/DNC,7/DNC,14T,5
USA,8829,Eben Russell,,,7/DNC,7/DNC,14T,5
