Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Points Total,Points Netto,Place
USA,9080,Howard Hamlin,Andrew Zinn,NHYC,[1],1,1,1,1,1,1,1,GRAY MATTER,8,7,1
USA,8937,Kevin Taugher,Don Smith,ABYC,2,2,2,2,3,[4],2,2,ALI-THE GREATEST,19,15,2
USA,8084,Aaron Ross,Rob Waterman,ABYC,[9],3,3,3,2,3,4,5,88th PLANET,32,23,3
USA,8558,Mark Folkman,Brandon Folkman,,6,7,5,5,[11 DNC],6,5,4,THOR,49,38,4
USA,7152,Gary Lee,Dan Downing,,4,5,[11 DNF],7,11 DNC,5,6,3,TEAM OLDE AGE,52,41,5
USA,8995,Rob Sjostedt,Beck,Corsair YC,7,[11 DNF],11 DNC,6,4,2,3,11 DNC,A QUESTION OF BALANCE,55,44,6
CAN,8755,Brian Trainor,Evan Jennings,KitsilanoYC,5,[11 DNF],6,8,6,8,8,6,BANSHEE,58,47,7
USA,8841,Holt Condon,Reeve Dunne,,3,6,4,4,[11 DNC],11 DNC,11 DNC,11 DNC,MR PINK,61,50,8
USA,8965,Hubert Guy,,,8,4,[11 DNF],11 DNC,5,9,11 DNC,11 DNC,,70,59,9
USA,8266,Stine Cacavas,Bill McKinney,,10,[11 DNF],11 DNC,11 DNC,11 DNC,7,7,7,FEVER PITCH,75,64,10
