Country,Sail,Helm,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat,Total Points,Pos
USA,8714,Mike Martin,,newport Harbor Yacht Club,[2],2,2,1,1,2,black boat,8,1
USA,9072,Mike Holt,,Santa Cruz YC,[3],1,3,2,2,1,IO Integration,9,2
USA,9080,Howard Hamlin,,NHYC,1,[4],1,4,3,3,Grey Boat,12,3
USA,8808,Augie Diaz,,Coral Reef Yacht Club,4,3,5,3,5,[7],,20,4
USA,9082,Jeff Miller,,SCYC,[7],6,4,6,6,4,Must Love Boats,26,5
USA,8913,Tyler Moore,,HYC,5,5,[10],5,7,5,,27,6
USA,9091,Edward Conrads,,st francis,6,7,7,[11],4,8,ibiwcyhi,32,7
USA,8970,Robert Tennant,,RVicYC,10,[11],9,8,8,6,,41,8
USA,8878,AJ Conrads,,St. Francis,[12],9,6,9,9,10,Mean Green,43T,9
USA,7156,Justin Shaffer,,American Yacht Club,9,[10],8,7,10,9,USA 7156,43T,10
USA,8965,Hubert Guy,,abyc,11,8,[18/DNF],10,11,18/DNF,,58,11
USA,8937,Tim Murphy,,TISC,13,[18/DNF],18/DNS,13,12,11,,67,12
USA,808*,Holt Condon,,St Francis YC,8,12,[18/DNF],18/DNF,18/DNF,18/DNS,Lightning Rod,74T,13
USA,8762,Christopher O'Leary,,BYC,[18/DNF],13,18/DNF,12,13,18/DNF,Tiburon,74T,14
USA,7877,Steve Anderes,,SA,14,14,11,[18/DNF],18/DNF,18/DNF,Surfing Alien,75,15
USA,9073,Bruce Edwards,,StFYC,[18/DNF],18/DNF,18/DNF,18/DNS,18/DNF,18/DNS,rapide bateau bleu,90T,16
USA,6984,Antoine Laussu,,PSSA,[18/DNF],18/DNF,18/DNF,18/DNF,18/DNF,18/DNS,Animal Cracker,90T,17
