Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Total Points,Pos
USA,9041,Jesse Falsone,Henry Amthor,,1,2,2,5,1
USA,9095,Macy Nelson,Russell Miller,,3,1,4,8,2
USA,8857,Brendan Connell,RJ Bay,,2,6,1,9,3
USA,9200,Lauren Schoene,Ali Meller,,5,5,3,13,4
USA,7359,Catherine Brady,James McKenna,,6,3,5,14,5
USA,9095,Nick Nelson,Averill Kelsey,,4,4,6,14,6
USA,8883,Ben Komar,Michael Renda,,7,7,7,21,7
USA,7606,Paul Andron,Saesha Carlile,,8,12/DNF,12/DNC,32,8
USA,TBD,James Appel,Curtis Hartman,,12/DNC,12/DNC,12/DNC,36,9T
USA,8244,Patrick Smiley,Michael Parramore,Kyra Carlos Linares,12/DNC,12/DNC,12/DNC,36,9T
USA,8854,Jimmy Praley,Geoff Gales,,12/DNC,12/DNC,12/DNC,36,9T
