Nation,Sail  NO,Skipper,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,,Boat Name,Pts,Pos
USA,9007,Matthew Barry,Eric Anderson,YCYC,2,1,4,[7],2,2,1,1,1,,License to Kill,14,1
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,3,2,2,1,1,1,2,[9],7,,Lookadatla,19,2
USA,8643,Barney Harris,RJ Bay,Prsa. Wrsc,1,3,1,3,[5],5,5,3,2,,,23,3
USA,9095,Macy Nelson,Eric Schwab,West River Sailing Club,[11],4,3,2,4,4,4,8,4,,Highway 95 Revisited,33,4
USA,9005,Thomas Kivney,Gordon Russell,Hingham Yacht Club,6,6,[10],4,8,3,3,4,5,,Katiebear,39,5
USA,8930,Duane Delfosse,,LSYC,5,5,5,6,3,[8],8,6,8,,Enter Name Here,46,6
USA,9183,Michael Breton,,Sail Newport,[9],7,6,5,6,7,6,5,9,,No Retreat,51,7
USA,8081,David Kirkpatrick,,Sail Newport,10,8,8,[11],10,6,7,2,3,,Yes Please,54,8
USA,8830,Nathaniel Plant,,Spsc,4,9,11,[DNF],7,10,9,11,10,,505,71,9
USA,9028,Shona Moss Lovshin,,Nepean Sailing Club,8,[11],7,P,9,11,10,7,11,,,73.6,10
CAN,9138,Marek Balinski,,OHCC,[12],10,9,9,11,9,11,10,6,,Plastic Surgery Disaster,75,11
USA,8018,Pete Conway,,Sail Newport,7,12,12,12,[13],12,12,12,13,,,92,12
USA,8012,Lennart Nilsson,,Jamestown Yacht Club,[DNS],S,S,10,12,13,13,13,12,,,101,13
