Nation,Sail,Crew,Skipper,Club,Race 1 Pos,Total Points,Pos
USA,8857,Brendan Connell,RJ Bay,,1,1,1
USA,9041,Jesse Falsone,Henry Amthor,,2,2,2
USA,9095*,Macey Nelson,Russell,,3,3,3
USA,9095,Nick Nelson,Averill Kelsey,,4,4,4
USA,9200,Lauren Schoene,Ali Meller,,5,5,5
USA,7359,Catherine Brady,James McKenna,,6,6,6
USA,8883,Ben Komar,Michael Renda,,7,7,7
USA,7606,Paul Andron,Saesha Carlile,,8,8,8
USA,0,James Appel,Curtis Hartman,,12/DNC,12.00T,9T
USA,8244,Patrick Smiley,Carlos Linares,,12/DNC,12.00T,9T
USA,8854,Jimmy Praley,Geoff Gales,,12/DNC,12.00T,9T
