SAIL NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,R8,R9,BOAT NAME,TOTAL,NET,
USA 8829,Miles Johannessen,Nick Blair,BYC,1,5,1,2,1,6,1,[10],1,None,28,18,1
USA 8631,Tom Crawford,,BYC,6,[7],3,1,2,2,3,5,4,FB Incognito,33,26,2
CAN 8866,Cynthia DesBrisay,Charles Hansen,KYC,4,4,4,4,3,4,2,3,[6],Non-Sequitor,34,28,3
CAN 8192,Philip Cragg,,Rvyc/KYC,2,11,[13],3,4,7,4,2,3,None,49,36,4
8576,Robert Noyes,Mike Punnett,None,3,6,5,5,[13],5,5,4,5,None,51,38,5
USA 8864,Paul Pihl,Crewy McCrewster,BYC,[9],9,7,7,5,3,9,1,2,None,52,43,6
USA 8824,Cedric Keneipp,Jack Knowles,Bellingham Yacht Club,8,3,2,10,10,11,7,RET - 13,[DNS - 17],Black Betty,81,64,7
USA 8868,Dan Ginther,,pvg raceing,7,1,8,6,6,9,12,[DNS - 17],DNS - 17,dooflicker,83,66,8
USA 8017,Michael Poulos,Jon Seestrom,BYC,11,2,9,11,[12],12,6,8,7,None,78,66,9
USA 8439,Chris Pittack,Anne Fitzpatrick,PVG-YC,5,8,12,8,8,8,8,[RET - 13],9,Yes Dear!,79,66,10
USA 9116,Oscar Barney,Mitchel Burke,Fleet 533 - Willamette,10,10,6,9,11,1,DNF - 15,9,[DNS - 17],None,88,71,11
USA 8207,Kevin Maguire,,BYC,[14],12,10,12,7,10,10,7,RET - 11,Spot,93,79,12
USA 7206,Chloe Dawson,Anthony Devita,,13,13,[DNS - 17],14,14,13,11,6,8,Watery Tart,109,92,13
USA 7610,Christopher Hubbard,Alexander Hubbard,cyc,12,RET - 15,11,13,9,14,13,[DNS - 17],DNS - 17,Bugbear,121,104,14
USA 6991,Sugar Flanagan,,PTSA,[DNC - 17],DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,Zaya,153,136,15
USA 8818,Jim Holstine,Ken Bachenberg,None,[DNC - 17],DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,None,153,136,16
