Country,Number,Helmsman,Crew,Club,,,Position
FRA,,Blanchard,Blanchard,,,,1
FRA,,Noël,Noël,,,,2
FRA,,Heymann,Heymann,,,,3
FRA,,Doerenbecher,Frères,,,,4
FRA,,Bock,Becker,,,,5
FRA,,Schutz,Schutz,,,,6
FRA,,Philippides,Jacques,,,,7
FRA,,Brengard,Chazeaud,,,,8
FRA,,Schwelben,Drouot,,,,9
FRA,,Bouvier,Carvallo,,,,10
FRA,,Michel Laugerotte,Drouot,,,,11
FRA,,Milsant,Gombert,,,,12
FRA,,Kreuser,Zimpfer,,,,13
FRA,,Christian Mautin,,,,,14
FRA,,Erhard,Erhard,,,,15
FRA,,Moreau,Zerr,,,,16
FRA,,Lehmann,Lehr,,,,17
FRA,,Sommer,Stich,,,,18
FRA,,Christophe,Meyer,,,,19
