Country,Boat #,Helm,Crew,,Race 1,Race 2,Points,Place
SUI,,Claude Fehlmann,Luini,,,,,1
FRA,,Francis Doerenbecher,Yvan Doerenbecher,,,,,2
FRA,,Jean Pierre Salou,Michel Laugerotte,,,,,3
SUI,,Jean Heymann,Heymann,,,,,4
SUI,,Ingold,Neter,,,,,5
GER,,Preuss,Bertenrath,,,,,6
FRA,,Vitelli,Simon,,,,,7
FRA,5565,Marcel Buffet,Simoneau,,,,,8
FRA,,Noël,Noël,,,,,9
FRA,,Christian Maréchal,André Gerbet,,,,,10
FRA,,Brengard,Chazeaud,,,,,11
FRA,,Philippides,Jacques,,,,,12
FRA,,Carvallo,Bernard,,,,,13
FRA,,Philippe Blanchard,Jean Marc Blanchard,,,,,14
FRA,,Baudin,Baudin,,,,,15
SUI,,Pfisterer,Unser,,,,,16
FRA,,Seris,Gusse,,,,,17
SUI,,Oldani,Luzi,,,,,18
SUI,,Schutz,Schutz,,,,,19
FRA,,Schneblen,Drouot,,,,,20
SUI,,Wismer,Rust,,,,,21
FRA,,Mautin,Aiguier,,,,,22
FRA,,Friat,Laffargue,,,,,23
GER,,Milsant,Gombert,,,,,24
GER,,Kreuser,Zimpfer,,,,,25
GER,,Dietz,Meyer,,,,,26
GER,,Wiedemann,Wiedemann,,,,,27
SUI,,Steiner,Steiner,,,,,28
GER,,Ehrard,Ehrard,,,,,29
SUI,,Stoll,Stoll,,,,,30
SUI,,Muller,Schiess,,,,,31
SUI,,Plinke,Peinen,,,,,32
FRA,,Quellmalz,Huser,,,,,33
FRA,,Schwab,Lotz,,,,,34
FRA,,Foucaud,Priestmann,,,,,35
GER,,Oetken,Gross,,,,,36
SUI,,Favre,Schaller,,,,,37
FRA,,Metzger,Plassy,,,,,38
FRA,,Moreau,Zerr,,,,,39
SUI,,Sommer,Stich,,,,,40
GER,,Boek,Becher,,,,,41
SUI,,Lehmann,Lehr,,,,,42
SUI,,Felhmann,Felhmann,,,,,43
SUI,,Muller,Spirig,,,,,44
GER,,Feuerhake,Bomemann,,,,,45
