country,boat number,helm,crew,club,place,Race 2,Points,Pos.
FRA,,Boite,Boite,,,,,1
FRA,,Di Pede,Valles,,,,,2
FRA,,Paternaut,Guiomard,,,,,3
FRA,,Tixier,Tixier,,,,,4
FRA,,Ces,Metenier,,,,,5
FRA,,Claude Fixot,Robert Leibovich,,,,,6
FRA,,Bony,Berthomieut,,,,,7
FRA,,Hertel,Hertel,,,,,8
FRA,,Gilbert Vinches,François Padovani,,,,,9
FRA,,Guyot,Voisin,,,,,10
FRA,,Marnez,Marnez,,,,,11
FRA,,Noël,Noël (Mme),,,,,11
FRA,,Mayoux,Soccolovert,,,,,13
FRA,,Plonquet,Plonquet,,,,,14
FRA,,Fontaine,Colman,,,,,15
FRA,,Dantard,Fiquet,,,,,16
FRA,,Gaudry,Prevotat,,,,,16
FRA,,Amiot,Bisson,,,,,18
FRA,,Aubert,Aubert,,,,,19
FRA,,Champion,Mabire,,,,,20
FRA,,Bert,Claude,,,,,21
FRA,,Pascal,Anstett,,,,,22
FRA,,Souvestre,Paternaut,,,,,23
FRA,,Christian Maréchal,Baguet,,,,,24
