Country,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,5300,Gilbert Vinches,François Padovani,Y.C.Draveil,,,,1,2,,1
FRA,,Michel Léger,Chaput,,,1,2,7,,,2
FRA,5565,Marcel Buffet,Jésus Kergreis,CVP,,DSQ,3,4,,,3
FRA,,Gaborit,Gaborit,,,,,,,,4
FRA,,Jérôme Langlois,Serane,,,2,1,6,,,5
FRA,,Michel Christ,Jolly,,,,,,,,6
FRA,,Robert Leibovitch,Blasquiz,CNV,,,,,,,7
FRA,,Jacques Raguet,Thoumazeau,CVBN,,,,,1,,8
FRA,,Gilles Carvallo,Hanry,Lac de Troyes,,,,2,,,9
FRA,,Fossard,Farrando,,,,,,,,10
FRA,,Calvignac,Dulphy,,,,,,,,11
FRA,,Tincelin,Hoffman,,,,,,,,12
FRA,,Leglohaec,Michel Laugerotte,,,,,,,,13
FRA,,Dinel,Dinel,,,,,,,,14
FRA,,Boudier,Boudier,,,,,,,,15
FRA,,Pierre Coindreau,Basin,,,,,,,,16
FRA,,Gelluseau,Rondeau,,,,,,,,17
FRA,,Jean-François Fountaine,Claire Fountaine,,,,,,,,18
FRA,,Bertrand,Dabis,,,,,,,,19
FRA,,Boldron,Lefebvre,,,,,,,,20
FRA,,Calvignac (II),DuhauDunan,,,,,,,,21
FRA,,Burchianti,Carrere,,,,,,,,22
