Pays,N°,Helm,Crew,Club,,,,Place
FRA,,Alain Doloy,Alain Sage,CVP,,,,1
FRA,,Fixot,Gravier,CVP,,,,2
FRA,,Noël,Mme Noël,ACBB,,,,3
FRA,,Maréchal,Baguet,YCD,,,,4
