Country,Boat #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,5565,Marcel Buffet,Simoneau,CVP,,,,,,,1
FRA,,M. Loday,Yvon Kergreis,,,,,,,,2
FRA,,Jean Pierre Salou,Michel Laugerotte,,,,,,,,3
FRA,5079,Alain Doloy,Alain Sage,,,,,,,,4
FRA,,Bouvet,Forgue,,,,,,,,5
FRA,,Bastard,Jacques Chouraki,,,,,,,,6
FRA,,Belingard,Modolo,,,,,,,,7
FRA,,Durand Rocher,Pem.,,,,,,,,8
FRA,,Michel Christ,Cordonier,,,,,,,,9
FRA,,Breteche,Breteche,,,,,,,,10
FRA,,Pajot,Conan,,,,,,,,11
FRA,,Levesque,Breurec,SNO,,,,,,,12
FRA,,Tiriau,Royne,,,,,,,,13
FRA,,Salou,Laugerotte,,,,,,,,14
FRA,,Gaborit,Legoff,,,,,,,,15
FRA,,Lecerf,Goelette,,,,,,,,16
FRA,,Legloahec,Guillard,,,,,,,,17
FRA,,Lepage,Lepage,,,,,,,,18
FRA,,Weber,Emeury,,,,,,,,19
FRA,,Grossain,Dussotois,,,,,,,,20
FRA,,Nadaud,,,,,,,,,21
