Country,Boat NO,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,points,place
FRA,9215,Roger Gilbert,Ian Mitchell,ETATS UNIS,3,2,2,6,5,1,Etats Unis D'Ameriq,13,1
FRA,22*,Florence le Brun,Ludovic Roblin,ASNQ,4,3,1,4,2,8,ASNQ,14,2
AUS,,Michael Quirk,David Snoad,,1,1,4,7,15,4,,17,3
FRA,9270,Philippe Boite,Timothee Chiron,CVSQ,2,6,6,10,1,3,ASCE VOILE ESPAR,18,4
GER,9260,Tim Böger,Arne Wittemer,,5,10,12,5,4,2,,26,5
GBR,9214,Andy Smith,Jonny Mildred,GRANDE BRETAGNE,9,8,3,3,6,6,Grande-Bretagne,26,6
GBR,,Ian Pinnfu,Harry Harry,GRANDE BRETAGNE,6,7,9,2,7,5,Grande-Bretagne,27,7
FRA,9147,Hervé de Kergariou,Alban Viaud,YC ILE DE FRANCE,8,5,5,13,3,7,CNCO,28,8
FRA,8847,Astian Le Morvan,Giles Donzé,ASPTT TROYES VOILE,12,14,14,1,9,15,ASPTT TROYES VOILE,50,9
FRA,9261,Martin Wedge,Graham Elliot,,11,4,18,21,14,12,,59,10
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASNQ,13,13,8,19,20,9,SNO NANTES,62,11
FRA,9168,Miles Odell,Richard Nurse,,DNC 34,11,15,14,12,11,,63,12
BEL,8613,Kim Van Assche,Tessa Liebens,BELGIQUE,14,9,11,18,18,14,Belgique,66,13
FRA,9075,Loïc Bleuez,Thibault Di Pède,A N S MANDRIER,7,16,DSQj 34,15,22,10,C V SEINE-PORT,70,14
FRA,8800,Claude Lafortune,Adrien Lafortune,C V SEINE-PORT,19,12,7,29,16,18,C V SEINE-PORT,72,15
FRA,9019,Véronique Brenet,Jean-Pierre Peter,ACAL,18,18,21,8,8,28,ACAL,73,16
FRA,9221,Frédéric Véroul,Verlhac Aubin Véroul,C N VASSIVIERE,20,15,13,16,11,19,C N VASSIVIERE,74,17
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,YC ILE DE FRANCE,15,24,10,9,19,23,CVSQ,76,18
FRA,8904,Anaïs Dechauffour,Benoit Radier,SNO NANTES,22,17,16,26,10,13,BNIG,78,19
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,10,DNF 34,22,11,21,20,C N HAUTE SEINE,84,20
GBR,9093,Richard Sims,Robert Burdekin,GRANDE BRETAGNE,16,20,17,17,23,17,Grande-Bretagne,87,21
FRA,8869,Etienne Boyer,Emmanuel Boyer,LA PELLE,17,DNS 34,20,24,17,16,CV BORDEAUX,94,22
FRA,8729,Baptiste Lafortune,Jordane Lafortune,C V SEINE-PORT,24,22,26,12,13,25,C V SEINE-PORT,96,23
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRC SUD-OISE,21,21,24,20,24,21,SRC SUD-OISE,107,24
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,ASNQ,23,19,19,28,25,24,ASNQ,110,25
FRA,8885,Yves Chene Pierre,Julien Chazet,CNROSTIVIEC LOPERHET,26,23,23,23,28,22,YC MORLAIX,117,26
FRA,9050,Anna-Marie de Kergariou,Pierre De Kergariou,YC ILE DE FRANCE,25,26,25,22,27,26,YC ILE DE FRANCE,124,27
FRA,8152,Eric le Morvan,Basile Tharel,ASPTT TROYES VOILE,28,27,31,25,30,27,AEPA SECTION VOILE,137,28
FRA,6126,Alexandre Levet,Pierre Grave,PNVB,27,25,30,31,31,31,PNVB,144,29
FRA,9086,Eric Quémard,Antoine Victor,YC ILE DE FRANCE,DNF 34,DNF 34,28,27,26,29,YC ILE DE FRANCE,144,30
FRA,321,Thierry Trompette,Tanguy Trompette,S N LARMOR PLAGE,29,28,29,30,29,30,S N LARMOR PLAGE,145,31
FRA,3535,Moana Tchoubar,Alain Botrel,CN MAZEROLLES,30,29,32,33,33,32,ANCRE,156,32
FRA,8683,Jean-Pierre Derungs,Pascal Corcessin,YC ILE DE FRANCE,DNF 34,DNF 34,27,32,32,DNF 34,YC ILE DE FRANCE,159,33
