Country,Sail #,Helm,Crew,club,Race 1,Race 2,Race 3,Crew club,points,place
FRA,9270,Philippe Boite,Radier Arthur,CVSQ,2,1,1,ASPTT LA ROCHELLE,4,1
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,1,4,3,C N HAUTE SEINE,8,2
BEL,9163,Gilles Chapelin,Eric le Morvan,C V BORDEAUX C M,4,3,2,ASPTT TROYES VOILE,9,3
FRA,9219,Elisabeth Neidhart,Thibault Di Pède,Y C ILE DE FRANCE,5,2,9,C V SEINE-PORT,16,4
FRA,,Cédric Crets,Lionel Lambert,,3,7,6,,16,5
BEL,,Kim Van Assche,Tessa Liebens,,7,8,4,,19,6
FRA,,Frédéric Véroul,Verlhac Aubin Véroul,C N VASSIVIERE,9,5,5,C N VASSIVIERE,19,7
FRA,,Serge Gubri,Thivillier Romain,C V SEINE-PORT,6,6,8,AEPA SECTION VOILE,20,8
BEL,,Pierre Gorremans,Inka Näkkäläjärvi,,8,11,7,,26,9
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASNQ,10,9,10,S N O NANTES,29,10
FRA,,Gilles Carvallo,Patrick Gateau,C N HAUTE SEINE,12,10,11,CVLO .,33,11
FRA,,Sebastien Brignone,Pauline Serrad,ASPTT TROYES VOILE,11,12,12,ASPTT TROYES VOILE,35,12
FRA,9031,Philippe Lucienne,Vivien Lucienne,S.R.C. Sud-Oise,DNF,DNF,DNF,S.R.C. Sud-Oise,48,DNA
FRA,8509,Alain Plumey,Remi Huez,ASPTT TROYES VOILE,DNF,DNF,DNF,ASPTT TROYES VOILE,48,DNA
FRA,8847,Bastian le Morvan,Gilles Garnerin,ASPTT TROYES VOILE,DNF,DNF,DNF,ASPTT TROYES VOILE,48,DNA
