Country,Boat NO,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,crew club,points,place
FRA,9270,Philippe Boite,Thimothé Chiron,CVSQ,1,3,2,1,ASCE VOILE ESPAR,4,1
FRA,22*,Florence le Brun,Ludovic Roblin,ASNQ,3,1,1,5,ASNQ,5,2
FRA,9147,Hervé de Kergariou,Alban Viaud,YC ILE DE FRANCE,2,2,3,2,CNCO,6,3
FRA,8847,Bastian le Morvan,Swann Pain,ASPTT TROYES VOILE,4,4,6,4,YC CHERBOURG,12,4
FRA,9219,Marin Carnot,Loïc Bleuez,CVSQ,12,13,4,3,A N S MANDRIER,19,5
FRA,9220,Gilles Chapelin,Arthur Radier,CV BORDEAUX,5,5,9,OCS,ASPTT LA ROCHELLE,19,6
FRA,8869,Etienne Boyer,Emmanuel Boyer,LA PELLE,6,8,8,6,CV BORDEAUX,20,7
BEL,9081,Cédric Crets,Lionel Lambert,,7,6,10,7,,20,8
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASNQ,13,11,5,9,SNO NANTES,25,9
FRA,9045,Nicolas Guillou,Nicolas Radier,SNPH,8,10,7,11,CN TREGASTEL,25,10
FRA,9031,Philippe Lucienne,Clement Vonck,SRC SUD-OISE,10,7,14,13,SRC SUD-OISE,30,11
FRA,8904,Anaïs Dechauffour,Benoit Radier,SNO NANTES,15,9,11,10,BNIG,30,12
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,ASNQ,9,12,13,12,ASNQ,33,13
FRA,8729,Baptiste Lafortune,Jordane Lafortune,C V SEINE-PORT,14,15,12,8,C V SEINE-PORT,34,14
FRA,8885,Yves Chene Pierre,Julien Chazet,CNROSTIVIEC LOPERHET,11,14,15,14,YC MORLAIX,39,15
