,,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Club Crew,points,place
FRA,9270,Philippe Boite,Thimothé Chiron,CVSQ,1,[2],1,1,1,1,1,1,ASCE VOILE ESPAR,7,1
BEL,9163,Gilles Chapelin,Pierre Gorremans,CVBCM,3,3,7,[12],4,2,5,4,,28,2
BEL,9121,Paul Gorremans,Jean Gorremans,,[UFD],1,12,2,2,9,3,2,,31,3
FRA,9045,Nicolas Guillou,Nicolas Radier,SNPH,4,[UFD],3,4,5,8,9,5,CN TREGASTEL,38,4
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASNQ,[8],8,4,3,6,7,8,3,SNO NANTES,39,5
BEL,8613,Kim Van Assche,Tessa Liebens,,7,5,9,8,[11],4,4,6,,43,6
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,[UFD],12,6,5,3,10,2,8,C N HAUTE SEINE,46,7
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRC SUD-OISE,2,[UFD],11,9,9,5,7,11,SRC SUD-OISE,54,8
FRA,9081,Cédric Crets,Lionel Lambert,,6,7,5,7,10,11,[14],9,,55,9
FRA,9075,Loic Bleuez,Guillaume Henrio,AN SAINT MANDRIER,9,9,2,10,[12],6,10,10,,56,10
FRA,9219,Elisabeth Neidhart,Thibault Di Pède,YC ILE DE FRANCE,5,6,8,[13],7,12,6,12,C V SEINE-PORT,56,11
FRA,8847,Bastian le Morvan,Swann Pain,ASPTT TROYES VOILE,[UFD],4,DNF,6,8,3,11,7,YC CHERBOURG,58,12
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACAL,10,11,10,11,[DNC],14,13,13,ACAL,82,13
BEL,8844,Frank Boonen,Ronald Vanthoor,,12,10,13,14,13,[16],16,14,,92,14
FRA,921,Timoté Barbier,Guillaume Barbier,SRC SUD-OISE,11,14,15,[DNF],14,13,12,15,SRC SUD-OISE,94,15
FRA,8152,Henri Morteau,Arthur Betriou,C N HAUTE SEINE,13,13,14,[DNF],DNC,17,DNF,DNC,C N HAUTE SEINE,114,16
FRA,8683,Jean-Pierre Derungs,Lola Soubrier,YC ILE DE FRANCE,[DNF],DNF,DNF,15,DNC,15,15,DNF,C N HAUTE SEINE,121,17
FIN,0,Inka Näkkäläjärvi,Lotte Dewaelheyns,,[DNC],DNF,DNF,DNC,DNC,DNC,DNC,DNC,,133,18
