Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Matthieu Gougeon,CVSQ,2,[3],2,1,1,1,C N Est Cotentin,10,7,1
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF,[8],2,4,2,2,4,YC GRENOBLE CHARA.,22,14,2
FRA,9045,Nicolas Guillou,Alain Ferec,SNPH,6,[9],1,3,3,2,SNPH,24,15,3
FRA,8820,Thibault Di Pede,Fabrice Toupet,CV SEINE PORT,3,4,3,4,[6],3,CV SEINE PORT,23,17,4
FRA,9099,Riwanon Le Roy,Alain Karadjian,ASNQ,5,1,[8],5,4,5,ASNQ,28,20,5
FRA,8716,Aline Martin,Anais Dechauffour,YCIF,1,5,5,6,[7],6,SNO NANTES,30,23,6
FRA,8729,Jordane Lafortune,Herve Brillaud,CV SEINE PORT,4,6,6,7,[9],9,CN FERRET,41,32,7
FRA,9086,Elisabeth Neidhart,David De Monteil,CVML,[11],8,7,8,5,7,CV SEINE PORT,46,35,8
FRA,9076,Baptiste Galaup,Nicolas Des Jamonieres,SNPH,7,7,[DNF 13],DNF 13,8,8,SNPH,56,43,9
FRA,8429,Jean Charles Zimmowitch,Jean-Baptiste Ternon,VIRTUAL REGATTA YC,10,[11],9,9,10,10,CV SEINE PORT,59,48,10
BEL,9064,Philippe Vandersteen,Andre Dumonceau,BEL,9,10,[DNF 13],DNF 13,DNS 13,DNS 13,,71,58,11
FRA,9033,Patrice Hue,Jean Claude Ancelot,NDC ANGERS VOILE,12,12,[DNF 13],DNS 13,DNS 13,DNS 13,ASNQ,76,63,12
