Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Florian Corbel,CVSQ,1,2,1,1,1,[7],2,CVL L'ABER WRAC'H,15,8,1
FRA,8904,Nicolas Martin,Julien Lafortune,CV SEINE PORT,3,[7],2,3,2,1,3,CV SEINE PORT,21,14,2
FRA,8820,Thibault Di Pède,Fabrice Toupet,CV SEINE PORT,[6],1,5,5,4,4,5,CV SEINE PORT,30,24,3
FRA,8683,Antoine Lafortune,Geraud Lafortune,CV SEINE PORT,5,6,3,4,[9],2,4,CN PAYS AURILLAC,33,24,4
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF,4,4,[11],7,7,3,1,YC GRENOBLE CHARA.,37,26,5
FRA,9099,Riwanon le Roy,Alain Karadjian,ASNQ,2,3,10,2,8,[14],10,ASNQ,49,35,6
FRA,8900,Serge Gubri,Pascal Viaud,CV SEINE PORT,[16],9,6,6,3,8,7,CNCO,55,39,7
FRA,9031,Philippe Lucienne,Vivien Lucienne,ABC  VOILE,[11],10,4,8,5,9,8,ABC  VOILE,55,44,8
FRA,8716,Aline Martin,Anaïs Dechauffour,YCIF,9,DNS 19,7,12,12,6,6,SNO NANTES,71,52,9
FRA,8509,Bastian le Morvan,Aristide Gasquet,ASPTT TROYES,10,12,[14],9,6,13,9,CV SEINE PORT,73,59,10
FRA,8800,Baptiste Lafortune,Adrien Lafortune,CV SEINE PORT,12,[13],9,10,13,5,13,CV SEINE PORT,75,62,11
FRA,9045,Nicolas Guillou,Alain Ferec,SNPH,7,5,8,14,10,[DNC 19],DNC 19,SNPH,82,63,12
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,CVML,8,11,[15],15,11,10,12,C N Est Cotentin,82,67,13
FRA,8729,Jordane Lafortune,Hervé Brillaud,CV SEINE PORT,15,8,13,11,[16],12,14,CN FERRET,89,73,14
FRA,9068,Francois De Lisle,Yves Coltier,CN FERRET,13,14,12,13,[DNF 19],11,11,CV SEINE PORT,93,74,15
FRA,9044,Pierre Nesseler,Nicolas Nesseler,ST GEORGES VOILES,[17],15,17,17,14,15,15,CNBR,110,93,16
FRA,8950,Eric Quémard,Nicolas Picquerey,YCIF,14,16,16,16,15,[17],17,YCIF,111,94,17
FRA,8321,Philippe Duquesne,Thibault Finot,SNO NANTES,[18],17,18,18,17,16,16,NAUTISME PAYS BLANC,120,102,18
