,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Punkte,Pl.
FRA,9075,Philippe Boite,Jean Rodriguez,CVM,2,1,1,5,2,1,4,DNF,,1
SUI,8614,Florian Stauffer,Valery Jacot,CVN,5,4,2,4,1,3,3,3,,2
GER,8975,Alexander Holzapfel,Yann Ducreux,PSVK,7,9,3,2,3,4,1,1,,3
FRA,8402,Loic Bleuez,Frederic Roucayrol,,4,2,6,3,5,5,8,2,,4
FRA,9056,Alain Tosello,Yves Niddam,,1,6,5,6,7,6,5,4,,5
FRA,8536,Oliver Ponthieu,Harald Van Exem,,8,3,4,7,DNF,2,6,5,,6
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,St Tropez,6,10,8,1,4,9,9,7,,7
FRA,9103,Mathieu Glade,Olivier Magret,,3,8,7,8,11,7,11,9,,8
FRA,8773,Philippe Markt,Yves Treboz,,10,12,110,9,9,10,2,6,,9
FRA,9086,Elisabeth Neidhart,Fabrice Toupet,,11,5,9,10,6,12,7,DNF,,10
FRA,8353,Denis David,Herve Brillaud,,9,7,11,11,8,8,10,8,,11
USA,8704,John Wyles,Lawrence Banahan,,12,11,12,12,10,11,12,10,,12
