Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Crew Club,Points Total,Points Netto,Place
FRA,9076,Baptiste Galaup,Nicolas Des Jamonieres,SNPH,1,1,[2],1,2,SNPH,7,5,1
FRA,8515,Jeremie Brau,Ludovic Roblin,AAN PORT-BLANC,3,3,[6],3,3,AAN PORT-BLANC,18,12,2
FRA,9045,Nicolas Guillou,Alain Ferec,SNPH,2,4,3,[5],5,SNPH,19,14,3
FRA,9099,Riwanon Le Roy,Alain Karadjian,ASNQ,4,2,[5],4,4,ASNQ,19,14,4
FRA,9075,Philippe Boite,Florian Corbel,CVSQ,[DNC 15],DNC 15,1,2,1,CVL L'ABER WRAC'H,19,19,5
FRA,9031,Vivien Lucienne,Philippe Lucienne,ABC  VOILE,[8],5,4,6,6,ABC  VOILE,29,21,6
FRA,8900,Serge Gubri,Jordane Lafortune,CV SEINE PORT,5,7,7,8,[DNF 15],CV SEINE PORT,42,27,7
FRA,8556,Killian Zimmowitch,Alan Thepaut,SNSQP,7,6,[DNF 15],9,7,SN LA FRETTE,44,29,8
FRA,8429,Jean Charles Zimmowitch,Jerome Zimmowitch,VIRTUAL REGATTA YC,[DNF 15],DNS 15,8,7,8,SNSQP,53,38,9
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,SNO NANTES,6,8,[DNC 15],DNC 15,DNC 15,SNO NANTES,59,44,10
FRA,8321,Philippe Duquesne,Thibault Finot,SNO NANTES,[DNF 15],DNS 15,DNF 15,DNC 15,DNC 15,NAUTISME PAYS BLANC,75,60,DNA
FRA,8542,Philippe Leroy,Elisabeth Neidhart,SNO NANTES,[DNC 15],DNC 15,DNF 15,DNC 15,DNC 15,CVML,75,60,DNA
FRA,9086,Bertrand Des  Jamonieres,Thibault Di Pede,SNPH,[DNC 15],DNC 15,DNF 15,DNC 15,DNC 15,CV SEINE PORT,75,60,DNA
FRA,8820,Fabrice Toupet, ,CV SEINE PORT,[DNC 15],DNS 15,DNF 15,DNC 15,DNC 15,,75,60,DNA
