Nation,Boat no,Helm,Crew,coureurs / équipage,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Crew club,points,place
FRA,9075,Boite Philippe,Gasquet Aristide,CVSQ,2,1,1,1,2,1,1,C V SEINE-PORT,7,1
FRA,8870,Silvestre Christian,Auberger Nicolas,Y C ILE DE FRANCE,6,2,5,OCS,4,3,7,YC Grenoble Chara.,27,2
FRA,8820,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,10,8,11,9,1,4,2,C V SEINE-PORT,34,3
FRA,9086,Neidhart Elisabeth,Gallo Pierre Jean,CVML,3,10,6,5,6,5,12,CVML,35,4
FRA,9050,De Kergariou Herve,Lafortune Geraud,CN ARRADON,13,3,2,8,17,7,3,CN PAYS AURILLAC,36,5
FRA,8847,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,4,11,3,4,11,9,5,C N HAUTE SEINE,36,6
FRA,8847,Le Morvan Bastian,Gougeon Matthieu,ASPTT TROYES,8,5,7,2,8,8,10,C N BAIE ST VAAST,38,7
FRA,8752,Monnier Frederic,Plathier Yann,YC DECINES,1,4,14,6,10,10,9,YC DECINES,40,8
FRA,9076,Maisse Stephane,Des Jamonieres Nicolas,FRA,9,13,4,7,3,18,4,S N P H,40,9
FRA,,Boyer Etienne,Boyer Emmanuel,LA PELLE-MARSEILLE,14,9,8,11,9,2,6,C V BORDEAUX C M,45,10
FRA,8729,Le Roy Riwanon,Lafortune Jordane,ASN QUIBERON,7,6,10,3,13,11,11,C V SEINE-PORT,48,11
FRA,9137,Roblin Ludovic,Lenorment Philippe,AAN PORT-BLANC,11,12,9,10,12,12,13,AAN PORT-BLANC,66,12
FRA,8676,Dechauffour Valentin,Gendry Pierre,S N O NANTES,DNC,DNC,16,16,5,6,8,S N O NANTES,71,13
FRA,9068,François de Lisle,Desjuzeur Marc,C N FERRET,12,7,15,17,7,15,16,USAM Voile Brest,72,14
FRA,8429,Zimmowitch Jean Charles,Zimmowitch Jerome,VIRTUAL REGATTA YC,5,14,13,14,16,16,17,SN ST QUAY PORTRIEUX,78,15
FRA,,Nicolas Morgane,Nicolas Patrick,SNOS VOILE,15,15,12,12,14,13,14,SNOS VOILE,80,16
FRA,,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,17,16,18,13,15,17,DNF,S N O NANTES,96,17
FRA,8542,Philippe Leroy,Guitteny Marc-Henri,S N O NANTES,16,17,17,15,OCS,14,DPI,S N O NANTES,96,18
FRA,,Teyssier Maurice,Teyssier David,C V SANGUINET,18,18,19,18,18,19,DPI,C V SANGUINET,110,19
