Nation,Boat,Helm,Crew,Club / Pays,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Netto,Ident
FRA,9075,Philippe Boite,Pierre Jean Gallo,C V ST QUENTIN C.V.M.L,2,2,1,2,2,2,26 DNC*,37,11,1
FRA,9099,Riwanon le Roy,Alain Karadjian,ASN QUIBERON ASN QUIBERON,9,3,2,1,5,26 DNF*,2,48,22,2
FRA,9045,Nicolas Guillou,Alain Ferec,S N P H S N P H,10,11,26 OCS*,7,3,1,1,59,33,3
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE-PORT C V SEINE-PORT,5,10,6,11,4,4,26 DNC*,66,40,4
FRA,8847,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE C N HAUTE SEINE,12,8,9,10,6,7,26 DNC*,78,52,5
FRA,8752,Frederic Monnier,Yann Plathier,S A LYONNAIS S A LYONNAIS,7,12,4,9,16,6,26 DNC*,80,54,6
SUI,8954,Caroline Jacot,Philippe Jacot,CV NEUFCHATEL -,1,1,26 OCS*,3,1,26 DNF,26 DNC,84,58,7
FRA,8509,Bastian le Morvan,Aristide Gasquet,ASPTT TROYES C V SEINE-PORT,18*,18,5,12,10,10,3,76,58,8
FRA,9031,Philippe Lucienne,Pierre Quil,ABC VOILE C N RENNES,14,13,13,14,7,3,26 DNC*,90,64,9
FRA,8904,Nicolas Martin,Julien Lafortune,C V SEINE-PORT C V SEINE-PORT,3,4,3,5,26 DNC*,26 DNC,26 DNC,93,67,10
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,C.V.M.L C N BAIE ST VAAST,4,9,7,13,12,26 DNF*,26 DNC,97,71,11
FRA,8870,Christian Silvestre,Yves Coltier,Y C ILE DE FRANCE C V SEINE-PORT,13,6,10,8,8,26 DNF*,26 DNC,97,71,12
SUI,9060,Catherine Houriet,Gil Donze,YC GENEVE -,8,5,11,4,26 DNC*,26 DNC,26 DNC,106,80,13
FRA,9103,Serge Gubri,Mathieu Glade,C V SEINE-PORT Y C TOULON,17,14,8,6,9,26 DNF*,26 DNC,106,80,14
FRA,9137,Ludovic Roblin,Philippe Lenorment,AN PORT-BLANC AN PORT-BLANC,16,15,12,23,11,5,26 DNC*,108,82,15
FRA,8716,Aline Martin,Anais Dechauffour,Y C ILE DE FRANCE S N O NANTES,6,7,15,16,26 DNF*,26 DNF,26 DNC,122,96,16
FRA,8729,Jordane Lafortune,Herve Brillaud,C V SEINE-PORT C N FERRET,11,22,14,15,14,26 DNF*,26 DNC,128,102,17
FRA,8705,Jean Philippe Ducros,Thierry Muniglia,C.V.M.L C.V.M.L,20,20,17,19,19,8,26 DNC*,129,103,18
FRA,9044,Pierre Nesseler,Stéphane Riviere,ST GEORGES VOILES -,15,16,16,17,18,26 DNF*,26 DNC,134,108,19
FRA,8950,Eric Quemard,Nicolas Picquerey,Y C ILE DE FRANCE Y C ILE DE FRANCE,19,21,26 OCS*,21,15,9,26 DNC,137,111,20
FRA,8748,Samuel Carvallo,Sebastien Rauly,C N HAUTE SEINE C N HAUTE SEINE,24,23,19,25,13,11,26 DNC*,141,115,21
FRA,8770,Jean Pierre Noclain,Roger Chabaud,C V VALENCIENNES C V VALENCIENNES,21,19,18,18,20,26 DNF*,26 DNC*,148,122,22
FRA,4479,Jean-Charles Cadoret,Pascal Coquelet,USMM Section voile USMM Section voile,25,24,20,20,17,26 DNF*,26 DNC,158,132,23
BEL,9064,Serge Cauet,Philippe Vandersteen,SNEH -,23,17,22,22,26 DNF*,26 DNF,26 DNC,162,136,24
GER,8052,Juergen Feuerhake,Anne Nehrenberg,YACH CLUB SAARBRUCKEN -,22,25,21,24,26 DNF*,26 DNC,26 DNC,170,144,25
