,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,Platz
FRA,8870,Christian Silvestre,Aline Martin,CVB,1,3,3,5,1,1,1,3,,,1
GER,9035,Ronald Roos,Morten Roos,SVWu,8,5,1,1,5,2,2,1,,,2
FRA,8847,Muriel Jeanne,Franck Agrapart,CNHS,3,6,5,2,4,3,6,2,,,3
SUI,9060,Catherine Houriet,Gil Donze,,7,1,4,6,2,4,4,6,,,4
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACAL,2,2,6,4,3,5,5,5,,,5
FRA,9081,Philippe Blanchard,Florent Duplouy,ACAL,4,8,2,3,8,5,3,4,,,6
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,5,4,7,7,7,7,11,DNC 15,,,7
GER,8530,Alexander von Mertens,Katja Frühwald,StSC,6,7,8,8,OCS 15,9,7,OCS 15,,,8
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,9,10,9,9,9,10,8,8,,,9
GER,8691,Harald König,Michael Müller,SHVL,11,12,11,11,12,8,10,9,,,10
GER,8712,Stefan Krumm,Uwe Krumm,SSCM,10,9,10,10,11,12,13,10,,,11
BEL,9064,Philippe Vandersteen,Andre Dumonceau,,DNC 15,DNC 15,DNC 15,DNC 15,6,OCS 15,9,7,,,12
FRA,8484,Benjamin Westerfeld,Bernard Edel,,12,11,DNF 15,DNC 15,10,11,12,DNC 15,,,13
GER,5597,Uwe Stutz,Frank Stutz,SCNS,13,13,12,12,13,13,14,DNC 15,,,14
