,Ident,Concurrents,Ret P,c.1,Race 1,Race 3,Race 5,Race 7,Race 9,Race 11,Race 13,Race 15,,,tot P,Rgs
FRA,9067,Ulysse Migraine,Clement Michel,25,2,1,2,7*,2,7,3,1,HAVRE S R,CV ST AUBIN ELBEUF,18,1
FRA,9024,Thibaut Vincent,Guillaume Faugier,30,3,4,1,1,1,5*,4,11,VOILE V G A ST MAUR,C V ST QUENTIN,19,2
FRA,9076,Paul Cousin,Baptiste Galaup,33,1,2,12*,3,6,1,2,6,ELBEUF CV ST AUBIN,S N P H,21,3
FRA,9075,Alexandre Boite,Florian Corbel,32,4,7*,3,2,4,3,5,4,HAVRE S R,C V L L'ABER WRAC'H,25,4
FRA,8429,Killian Zimmowitch,Romaric Zimmowitch,38,6,5,10*,5,7,2,1,2,PORTRIEUX SN ST QUAY,Y C CARNAC,28,5
FRA,8847,Bastian le Morvan,Aristide Gasquet,49,8,6,11*,4,3,4,6,7,TROYES ASPTT,C V SEINE-PORT,38,6
FRA,8748,Lola Billy,Marie Zugolaro,56,5,3,5,6,17*,6,11,3,L'ABER WRAC'H C V L,CV ST AUBIN ELBEUF,39,7
FRA,8542,Morgane Suquart,Ciret-Lecosquer Madeg,68,9,8,8,10*,9,9,7,8,GOELO POLE NAUTI SUD,POLE NAUTI SUD GOELO,58,8
FRA,8676,Valentin Dechauffour,Pierre Gendry,91,7,12,7,9,13,11,14*,18,NANTES S N O,S N O NANTES,73,9
FRA,8870,July-Wormit Mareva,Yoann Fouassier,91,13,15*,15,13,10,8,8,9,VOILE V G A ST MAUR,CV ST AUBIN ELBEUF,76,10
FRA,8705,Thomas Soinard,Benoit Dijoux,97,16*,13,6,8,8,15,15,16,C.V.M.L,76 YC ROUEN,81,11
FRA,9086,Celine Chevet,Louise Acker,103,10,17,4,20*,12,12,9,19,H S N P,S N P H,83,12
FRA,9084,Marion Michel,Anais Dechauffour,106,17,11,9,11,14,13,21*,10,SEINE C N HAUTE,S N O NANTES,85,13
FRA,8954,Vincent le Morvan,Romain Thivilliers,114,12,16,14,18,15,24 DNF*,10,5,TROYES ASPTT,AEPA SECTION VOILE,90,14
FRA,8800,Francois Lafortune,Antoine Delagrange,118,14,9,21,17,5,24 OCS*,13,15,SEINE-PORT C V,SEINE-PORT C V,94,15
FRA,9010,Blaise Ribon,Cedric Milinaire,119,15,18,18,16,11,10,19*,12,SEVRES NAUTIQUE,C V ST QUENTIN,100,16
FRA,9068,Antoine de Nijs,Marc Desjuzeur,129,19,10,13,12,16,20*,17,22,VALERIQUAIS C N,USAM Voile Brest,107,17
FRA,8898,Morgane Nicolas,Jean-Baptiste Ternon,129,11,22*,16,14,18,16,12,20,VOILE SNOS,C V SEINE-PORT,107,18
SUI,8545,Marc-Martin Titouan,Jean-Marie Tinembart,140,23*,14,19,15,21,17,18,13,SUISSE,-,117,19
FRA,8729,Marine Delagrange,Quentin Coulon,150,22*,21,22,22,19,14,16,14,SEINE-PORT C V,C N HAUTE SEINE,128,20
FRA,8716,Tangui Aladjidi,Yves Coltier,150,20*,19,17,19,20,18,20,17,SEINE-PORT C V,SEINE-PORT C V,130,21
FRA,9031,Augustin Doumic,Pierre Quil,165,18,20,20,21,23*,19,23,21,D C C E,C N RENNES,142,22
FRA,8509,Theo Mathias,Emilie Guilleminot,178,21,23*,23,23,22,21,22,23,VOILE AEPA SECTION,C N HAUTE SEINE,155,23,
