Sail,Number,Skipper,Crew,Yacht Name,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Race11,Total,
USA,9080,Howard Hamlin,Andy Zinn,Drought Tolerant,1,[4],4,3,3,[5],3,4,1,1,1,21,1
USA,8715,Ethan Bixby,Christopher Brady,Pressure Drop,2,1,5,1,2,4,2,2,[15],[12],10,29,2
USA,9115,Mike Holt,Carl Smit,IO Integration,[16],2,[9],8,4,1,1,3,4,3,5,31,3
USA,9003,Jesse Falsone,Keith Davids,Toxic Asset,10,3,[13],7,1,2,4,1,8,7,[11],43,4
USA,90801,Riley Gibbs,Reeve Dunn,5200 woo hoo,3,6,1,[15],[16],6,8,13,9,2,3,51,5
USA,8830,Andrew Buttner,Mark Zagol,Kokatat,4,[11],7,2,5,[8],5,6,7,8,7,51,6
USA,9138,Tyler Moore,Rob Woelfel,Team Rooster,5,9,8,10,6,3,9,[14],2,[10],2,54,7
USA,8681,Stuart Park,Ryan Cox,Park Miller LLC,13,5,17,5,[21],[20],6,11,3,4,9,73,8
CAN,8264,Jeff Boyd,Rachael Boyd,Desperate Measures,6,16,2,4,7,7,7,12,[19],18,[34 DNC],79,9
USA,9041,Henry Amthor,Dustin Romey,Amthor Romey,[18],[22],3,9,17,17,10,7,10,5,4,82,10
USA,8680,Douglas Hagan,Paul Von Grey,Da Old Dog,14,12,[21],6,12,14,11,16,6,9,6,90,11
USA,9095,Macy Nelson,Eric Anderson,Highway 95 Revisted,[22],[21],6,21,11,13,[16],5,18,6,8,104,12
USA,7606,Brendan Connell,Brendan Huessler,B Squared,[20],7,18,13,10,10,20,8,[22],16,12,114,13
USA,8913,Dan Herlihy,Pat Diola,Lucky Dog,8,14,11,14,14,[21],13,[19],13,15,15,117,14
USA,7197,Thomas Sitzmann,Colin Robertson,Lawn Dart,7,8,[34 DSQ],12,[23],11,12,18,17,20,13,118,15
USA,8854,Craig Thompson,Carson Turowski,USA 8854,15,10,12,17,19,[28],14,[20],5,13,16,121,16
USA,9005,Thomas Kivney,Gordon Russell,Katiebear,12,19,14,16,18,18,[19],17,11,11,34 DNF,136,17
USA,8883,Michael Renda,Stergios Papadakis,Jane's Addiction,17,13,15,22,[24],19,[34 DNF],9,14,17,14,140,18
USA,7200,Ali Meller,Mike Coe,Time Is On My Side Un Canadien Errant,19,20,22,19,15,12,18,10,12,[34 DNF],[34 DNC],147,19
CAN,8645,Marg Hurley,Christian Dechamplain,Green with Envy,21,24,10,11,8,9,15,23,34 DNS,[34 DNC],34 DNC,155,20
USA,8814,Lin Robson,Stephen Long,Sojourner,11,18,16,20,9,15,17,22,[34 DNF],[34 DNC],34 DNC,162,21
USA,8841,Ramsay Key,Russ Miller,The Muscle,9,15,19,18,13,16,23,15,[34 DNF],[34 DNC],34 DNC,162,22
IRL,8987,Peter Scannell,Patrick O'Bryan,Lookadatla,25,17,[27],23,26,[29],22,21,16,14,18,182,23
USA,8829,Bryan Richardson,Krysia Pohl,Safety Word,24,23,23,25,22,22,21,24,[34 DNC],21,[34 DNF],205,24
USA,7776,Eric Schwab,Pete Conway,7776,23,25,26,[27],25,26,24,[27],23,19,17,208,25
USA,8766,Ian Conners,,The Shocker,[34 DNC],26,25,24,27,25,28,26,21,[34 DNF],[34 DNC],236,26
USA,8194,Pierce Barden,Clayton James,Spruce Goose,27,31,24,31,29,23,25,29,20,[34 DNF],34 DNC,239,27
USA,8822,David Burchfiel,Andy Forman,Wicked Pissa,26,28,30,29,28,27,27,28,24,[34 DNC],[34 DNC],247,28
USA,8838,Sterling Spruill,Chris Pfrang,Always Trouble,29,30,28,28,32,30,[34 DNF],[34 DNF],34 DNF,22,20,253,29
USA,8951,Curtis Hartmann,Kelsey Averill,Maggot Brain,[34 DNC],[34 DNC],20,26,20,24,34 DNF,34 DNC,34 DNF,34 DNC,34 DNF,260,30
USA,8850,Doug Watson,Ross Sorci,Dr.Crash,28,27,29,30,31,31,26,25,[34 DNC],[34 DNC],34 DNC,261,31
USA,8722,David Neal,Carlos Linares,Kookaburra,[34 DNC],[34 DNC],32,33,33,33,29,30,34 DNC,23,19,266,32
USA,8244,Paul Andron,Gretchen Esbensen,Hodor,30,29,31,32,30,32,[34 DNC],[34 DNC],34 DNF,34 DNC,34 DNC,286,33
