Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Brutto,Netto,Place
SWE,8812,Krister Bergström,Johan Barne,GKSS,1,6,1,3,2,8,2,1,24,,1
GER,8825,Stefan Köchlin,Axel Priegann,SKF,DNC 20,1,3,2,3,6,1,2,38,,2
DEN,8656,Jörgen Riber,Henrik Buhl,SLET,4,2,2,1,1,9,4,4,27,,3
GER,8670,Martin Görge,Rainer Görge,TSVS,3,5,4,5,5,2,OCS 20,5,49,,4
DEN,8806,Ebbe Rosen,Olle Wenrup,Mai Arhojd,6,3,6,4,6,5,3,DNC 20,53,,5
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,2,4,5,6,4,1,OCS 20,OCS 20,62,,6
DEN,8581,Jon Andersen,Lasse Andresen,Reers,5,7,8,10,7,4,7,6,54,,7
DEN,8807,Tom Bøjland,Phillip Christiani,Farum,7,9,7,7,9,7,5,3,54,,8
DEN,8440,Per Larsen,Henrik Andersen,Farum,9,8,9,9,11,3,8,8,65,,9
DEN,8082,Kenneth Eriksen,Frank Hellensberg,HS,10,14,11,11,14,13,11,9,93,,10
SWE,8585,Jan Eriksson,Björn Thews,NSS,DNC 20,OCS 20,DNF 20,8,8,10,6,DNC 20,112,,11
DEN,8330,Jesper Legin Larsen,Allan Andreasen,Polytek,8,11,10,12,DNC 20,DNC 20,10,DNF 20,111,,12
DEN,8333,Mads Christiansen,Johnny Rodholm,AS,11,10,12,15,13,15,13,10,99,,13
DEN,8377,Anders Høj Christensen,Peter J. Christensen,HVID,DNC 20,DNC 20,13,10,12,9,7,20,111,14,
DEN,7934,Soren Nondrup,Stephan Nanndrup,BUS,12,12,13,16,15,14,14,DNC 20,116,,15
DEN,8*,Bo Peterson,Christian Stormark,Faborg,DNF 20,DNC 20,DNC 20,14,12,11,DNC 20,DNC 20,137,,16
DEN,8364,Lars Laursen,Erik Laursen,VALL,DNC 20,13,14,17,DNC 20,DNC 20,12,DNF 20,136,,17
GER,8744,Jörg Häger,Hans-Heinrich Rix,SCB,DNC 20,DNC 20,DNC 20,DNC 20,18,DNC 20,DNF 20,DNF 20,158,,18
GER,8590,Johannes Boy,Markus Conrad,ZSK,DNF 20,DNC 20,DNC 20,DNC 20,DNC 20,18,DNF 20,DNC 20,158,,19
