Nation,Boat,Name,Helm,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Total,Place
GBR,9196,Penny Clark,Russ Clark,,1,2,3,3,2,1,1,1,1,2,14,1
USA,9153,Howie Hamlin,Ian Mitchell,,4,4,2,2,3,4,2,8,2,3,26,2
AUS,9191,Malcolm Higgins,Nick Johnson,,2,1,1,1,1,7,6,7,6,5,30,3
GBR,9221,Ian Pinnell,Norman Byrd,,5,3,5,4,6,3,3,3,3,1,30,4
ESP,0,Michael Quirk,Reeve Dunn,,3,6,4,5,5,2,7,4,DNS,DNS,47,5
USA,8854,Craig Thomson,Paddy Lewis,,6,7,8,6,7,6,5,2,5,7,51,6
AUS,8920,Jeff Robinson,Adam Wyatt,,7,5,6,8,4,5,9,6,7,6,54,7
AUS,0,Ian Brown,Elliot Wells,,8,8,7,7,11,9,4,5,4,4,56,8
AUS,9225,Earl Alexander,John Mclean,,9,DNF,DNS,DNS,DNS,8,8,9,8,8,83,9
AUS,9071,Richard Hyde,Lindsay Gilbert,,DNS,DNS,DNS,DNS,DNS,10,10,10,9,9,92,10
