,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Platz,,,,,,,,,,,
DEN,9121,Jorgen Bojsen-Moller,Jacob Bojsen-Moller,,1,2,1,1,2,1,1,2,2,2,1,3,,,1
DEN,9118,Jan Saugmann,Jakob Karbo,HiS,2,1,4,2,1,5,2,DNC,1,1,2,1,,,2
FIN,8927,Kaj Lindfors,Antti Salonen,,3,7,9,4,3,10,4,4,6,3,9,2,,,3
FIN,9069,Jari Hamstroem,Tuomas Laurila,EMK,5,5,14,6,8,3,9,1,3,7,4,13,,,4
SWE,8923,Lars Hultgren,Axel Hultgren,,9,3,3,5,4,2,15,10,7,10,7,5,,,5
DEN,9128,Jon Andersen,Henrik Buhl,Reers,7,6,7,12,6,4,7,7,5,4,6,6,,,6
GER,8958,Nicholas Melzwig,Axel Priegann,LRV,6,8,8,10,5,DNC,8,3,10,8,3,9,,,7
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,SoSe,13,12,OCS,7,7,6,3,8,15,5,10,14,,,8
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,11,4,17,8,15,8,18,6,4,11,5,DNC,,,9
DEN,9055,Lotte Meldgaard,Lotte Meldgaard,,8,11,6,3,9,11,13,11,14,15,14,7,,,10
SWE,8694,Tomas Grundel,Tomas Grundel,,4,DNC,2,13,12,12,12,9,11,DNC,15,12,,,11
DEN,8551,Martin Friderichsen,Martin Friderichsen,,10,14,16,11,16,9,10,12,13,23,11,4,,,12
SWE,8651,Peter Andersson,Peter Andersson,,12,DSQ,20,15,11,18,5,5,12,16,13,15,,,13
SWE,9038,Lars Bjerke,Tore Reinhold,BKSS,DNC,10,10,9,14,13,14,14,9,12,18,DNC,,,14
DEN,9025,Per Larsen,Lasse Andreasen,Farum,16,17,11,14,10,17,17,18,17,6,8,11,,,15
DEN,9079,Jesper Bülow,Soren Asboe Jorgensen,,15,15,13,17,18,15,6,13,8,14,12,DNC,,,16
GER,9057,Wiebke Siemsen,Mitja Hettwer,KYC,17,16,18,16,17,14,11,16,16,9,17,10,,,17
DEN,8232,Jonas Christiansen,Kim Sørensen,,18,9,15,19,20,16,19,15,20,13,DNC,DNC,,,19
SWE,8585,Per Wennersten,Pia Wennersten,,OCS,19,12,22,21,20,20,23,24,17,20,16,,,20
DEN,8677,Rasmus Andersen,Rasmus Andersen,,20,20,22,25,25,23,26,22,18,18,16,8,,,21
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSAV,19,18,21,21,19,19,25,20,19,20,DNC,DNC,,,22
DEN,9109,Hans Genefke,Finn Angelo,,21,22,23,23,22,21,21,21,21,19,19,17,,,23
SWE,8257,Thomas Jaxing,Thomas Jaxing,,22,21,19,20,24,24,23,19,28,28,28,28,,,24
SWE,8807,Per Kjellberg,Rita Cording,,DNC,DNC,25,24,23,22,24,DNC,22,21,DNC,DNC,,,25
DEN,8592,Poul Aunsholm,Morten Halberg,,23,28,24,26,26,25,22,24,28,28,28,28,,,26
DEN,8472,Agnete Brask,Ketil Johansen,,28,28,26,27,27,26,27,28,23,22,21,28,,,27
