Nation,Sejlnummer,HelmName,CrewName,Sejlklub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Bådnavn,Total,Nett,Rank
DEN,8440,Mikkel Christiansen,Mads Christiansen,AS,1,3,1,1,1,1,-4,1,,13,9,1st
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,2,1,3,4,3,-5,2,3,Bare vent i morgen overhaler vi jer,23,18,2nd
USA,9106,Jon Møller Andersen,Henrik Buhl,Hellerup Sejlklub,4,2,2,2,-6,2,3,5,Brille Mie,26,20,3rd
GBR,9079,Jesper Bülow,Søren Asboe Jørgensen,Aarhus Sejlklub,3,4,-5,3,5,4,5,2,Little Bluenose,31,26,4th
DEN,9055,Lotte Meldgaard Pedersen,Jens Vestergaard,KDY/ Sorø Sejlforening,5,5,(8 DNF),8 DNC,2,3,1,4,,36,28,5th
DEN,8677,,,,-6,6,4,5,4,6,6,6,,43,37,6th
DEN,8472,Agnete Brandt Brask,Ketil Johansen,Aarhus Sejlklub,7,7,(8 DNF),8 DNC,8 DNC,7,7,8 DNC,,60,52,7th
