Nation,Baot no,Helm,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,FINAL,Pos.
GBR,6989,Peter Colclough,Phil Brown,,14,0.75,4,0.75,6,0.75,12.75,1
GBR,6553,P. White,,,4,3,0.75,4,3,5,14.75,2
GBR,7004,E.W. Owen,,,95,2,5,3,2,3,15,3
GBR,6952,D Farrant,,,7,21,15,2,0.75,2,26.75,4
GBR,6840,D.J. Pitman,,,2,8,12,12,95,7,41,5
GBR,6950,P. Bainbridge,,,5,7,9,15,5,30,41,6
GBR,6594,P. Milanes,,,12,13,6,6,17,4,41,7
GBR,6723,B. Napier,,,15,16,37,5,8,8,42,8
GBR,6801,Mike Lingwood,,,3,14,2,16,15,10,44,9
GBR,6789,J. Locke,,,17,9,8,8,10,28,52,10
GBR,6844,R. Willows,,,8,4,7,37,14,20,53,11
GBR,6889,S. France,,,9,10,13,10,12,24,54,12
GBR,6846,N. Willmott,,,0.75,93,16,7,22,13,58.75,13
GBR,6782,J.S. Patterson,,,95,15,11,21,4,19,70,14
GBR,6961,David White,,,95,23,3,25,9,18,78,15
GBR,6831,R. Lord,,,19,12,23,14,31,11,79,16
GBR,6901,T. Marlow,,,37,22,25,18,11,15,91,17
GBR,6871,N. Young,,,10,17,10,22,34,33,92,18
GBR,6688,D.J. Treloar,,,26,31,95,17,13,6,93,19
GBR,7007,Ian Henry,,,27,37,49,13,21,9,107,20
GBR,6848,D.A. Clark,,,95,33,28,11,23,14,109,21
GBR,6595,M. Hattemore,,,13,5,18,94,55,23,114,22
GBR,6839,S.R. Tew,,,16,11,22,34,40,36,119,23
GBR,6518,D. Revill,,,11,18,50,33,30,39,121,24
GBR,6868,Mike Lawton,,,6,26,40,24,105,27,123,25
GBR,6878,L. Fryer,,,24,25,32,27,20,42,128,26 =
GBR,6958,M.R. Platts,,,18,16,35,23,36,94,128,26=
GBR,6563,V. Ralston,,,21,24,36,19,29,94,129,28
GBR,6881,C. Streatfield,,,30,41,14,38,47,16,139,29
GBR,6843,C. Bailey,,,44,42,19,26,18,35,140,30
GBR,6842,G. Farrant,,,95,43,21,20,32,34,150,31
GBR,6785,G.C. Thomas,,,33,32,29,39,19,40,152,32
GBR,6955,J. Donnelly,,,50,95,26,45,7,25,153,33
GBR,6637,M. Holmes,,,34,45,30,31,27,32,154,34
GBR,6558,G.F. Kinmonth,,,47,19,20,54,37,37,160,35=
GBR,6648,Robin Whittle,Timothy Whittle,,23,28,68,32,25,52,160,35=
GBR,6853,William Goodacre,,,67,30,106,35,16,17,165,37
GBR,6432,W.R. Mills,,,20,20,38,46,51,94,175,38
GBR,6513,B. Graham,,,29,93,43,43,43,22,180,39
