Nr na żaglu,Team,Klub,R,R1,R2,R3,R4,R5,R6,N,Nr
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,16.0,2.0,3.0,7.0,4.0,(14.0),30.0,1
DEN 9118,Jan Saugmann,Jakob Karbo,,17.0,1.0,2.0,(14.0),5.0,9.0,31.0,2
USA 9072,Mike Holt,Rob Woelfel,Santa Cruz YC,23.0,12.0,6.0,(16.0),3.0,2.0,39.0,3
GER 8875,Jens Findel,Johannes Tellen,KYC,28.0,11.0,5.0,(29.0),6.0,6.0,57.0,4
GER 9071,Dr Wolfgang Hunger,Wolfgang Dr Hunger,PYC,29.0,(23.0),4.0,1.0,16.0,8.0,52.0,5
RSA 9026,Tina Plattner,Mike Martin,RCYC,29.0,3.0,12.0,(27.0),9.0,5.0,56.0,6
GER 9122,Benedikt Northoff,Kilian Northoff,BYC,31.0,10.0,16.0,(36.0),1.0,4.0,67.0,7
FRA 9075,Philippe Boite,Erwan Grossmann,CVSQ,33.0,5.0,(30.0),4.0,2.0,22.0,63.0,8
SUI 9096,Cédric Bart,Laurent Grob,CNB,37.0,6.0,7.0,3.0,(23.0),21.0,60.0,9
GBR 9094,Ian Pinnell,Colin Smith,HISC,45.0,(31.0),1.0,12.0,8.0,24.0,76.0,10
GER 9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,45.0,(28.0),18.0,13.0,13.0,1.0,73.0,11
USA 9117,Tyler Moore,Andrew Buttner,HYC/WYC/CYC,45.0,8.0,(20.0),6.0,19.0,12.0,65.0,12
GER 9043,Nici Birkner,Angela Stenger,,45.0,14.0,9.0,(20.0),15.0,7.0,65.0,13
GER 9131,Meike Schomäker,Martin Schöler,ZSK,51.0,17.0,19.0,2.0,(27.0),13.0,78.0,14
GBR 9088,Andy Smith,Tim Needham,NCSC,54.0,29.0,13.0,9.0,(30.0),3.0,84.0,15
GER 9062,Jens Olbrysch,Oliver Thies,HSC,57.0,18.0,10.0,5.0,24.0,(27.0),84.0,16
GER 9046,Thomas Gosch,Antje Gosch,ENSFR,57.0,7.0,(66.0) DNF,15.0,20.0,15.0,123.0,17
GER 9057,Kai Bertallot,Jan Reifferscheidt,FSC,63.0,(30.0),11.0,11.0,11.0,30.0,93.0,18
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,66.0,21.0,21.0,(34.0),7.0,17.0,100.0,19
FRA 9076,Xavier Broise,Nicolas Des Jamonieres,SNPH,69.0,16.0,14.0,19.0,(40.0),20.0,109.0,20
