Numero Nome,Helm,Crew,club,r1,r2,r3,r4,r5,r6,r7,r8,total,place
USA 9072,Holt Mike,Smit Carl,Santa Cruz YC/Eastport YC,1,1,4,4,3,3,(7),2,19,1
AUS 9191,Higgins Malcolm,Johnson Nick,BSYC/,(8),6,1,1,2,2,4,4,20,2
CAN 9207,Tennant Bob,Bourdon Stephen,Santa Cruz YC/Santa Cruz YC,9,9,6,(26),4,4,4,9,34,3
GBR 9221,Ian Pinnell,Tim Needham,HISC/HISC,2,(12),9,7,7,3,3,4,35,4
GBR 9196,Clark Penny,Clark Russell,RNSA/Stokes Bay SC/RNSA/Stokes,5,5,(10),4,8,8,2,2,35,5
GER 9070,Koechlin Stefan,Andreas Achterberg,SVS/BYC,3,(10),2,10,5,5,3,3,40,6
GER 9198,Stueckl Julian,Tellen Johannes,DTYC/MYC,12,5,(19),8,6,6,6,6,55,7
USA 9153,Hamlin Howard,Bell Jon,ABYC / NHYC/,(14),13,5,5,10,7,7,12,71,8
GBR 9214,Smith Andy,Mears Stewart,/RCYC,21,16,7,(DNF),12,12,8,8,77,9
AUS 9211,Deussen Robin Fritz,Snoad David Snoady,Adelaide Sailing Club/,6,6,8,(23),14,21,19,6,82,10
GER 9185,Bohm Stefan,Roos Gerald,SCV Erftstadt/,7,7,3,(31),20,10,23,16,83,11
GER 9121,Hofmann Jan-Philipp,Brockerhoff Felix,DYC/DYC,10,7,7,6,6,22,5,(DNF),84,12
FRA 9220,Philippe Boite,Mathieu Fountaine,CVSQ/,11,15,(16),13,9,9,15,15,86,13
USA 9210,Quirk Michael,Dunne Reeve,RPEYC/,31,3,3,5,5,(DNF),11,14,98,14
GER 9133,Achterberg Frieder,Wolfgang Stueckl,DTYC/DTYC,17,14,22,(29),11,13,14,20,111,15
GBR 9179,Owen Tudor,Pasloe Sam,Whitstable Y.C./Castle Love,(28),11,11,21,17,18,18,17,113,16
GER 9182,Holzapfel Alexander,Boeger Finn,Post-Sportverein Koblenz/Hambu,22,17,18,19,13,16,(26),11,116,17
GER 9169,Tim Bager,Markus Schöner,Hsc/,15,24,14,9,9,15,12,(33),119,18
GER 9101,Treichel Timon,Roos Morten,DYC/SVWU,23,23,15,18,19,(27),20,7,125,19
GBR 9177,Gillard Thomas,Edwards Geoff,Sheffield Viking SC/,13,20,21,16,15,19,24,(DNF),128,20
GER 9127,Pleamann Ulf,Rix Hans-Heinrich,AYC/TSVS,4,4,12,2,2,14,(DNF),DNF,129,21
GER 899,Ian Brown,Holger Jess,Mhyc/,27,(29),17,15,24,25,13,10,131,22
USA 8854,Thompson Craig,Lewis Paddy,Unoffiliated/Datzhet Water SC,20,18,20,11,22,26,(46),19,136,23
GER 9171,Stefan Giesler,Frank Böhm,VSaW/,16,21,25,24,16,11,(27),25,138,24
AUS 9134,Jeffrey Robinson,Adam Wyatt,NCHC/NCHC,19,19,23,(27),18,17,16,27,139,25
DEN 9128,Hoffmann Buhl,Buhl Henrik,Hellerup Sejlklub/Hellerup Sej,26,25,24,12,(28),20,22,18,147,26
