Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
GER,9182,Meike Schomäker,Holger Jess,ZSK,1,1,6,2,1,4,4,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,6,2,1,7,2,3,5,,2
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,10,4,4,9,3,1,1,,3
GER,8875,Jens Findel,Johannes Tellen,KYC,2,18,12,4,7,6,3,,4
GER,9043,Nicola Birkner,Angela Stenger,SVaW,5,8,2,3,5,11,17,,5
GER,9112,Morten Bogacki,Lars Dehne,DYC,9,9,8,1,13,5,9,,6
GER,8988,Jens Olbrysch,Oliver Thies,HSC,12,11,3,5,11,7,6,,7
GER,9090,Christian Kellner,Sebastian Salein,HSC,3,12,17,6,6,15,2,,8
GER,8929,Andreas Bock,Rolf Meyer,BYC,15,7,15,10,9,2,7,,9
GER,8929,Tom Gosch,Antje Gosch,ENSFV,20,5,7,11,14,9,10,,10
GER,9113,Helen Fischer,Robert Rothe,BYC,8,14,11,12,10,8,8,,11
GER,9110,Tim Böger,Klaus Stammerjohann,HSC,4,16,10,8,12,DNC,13,,12
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,11,13,13,17,4,14,12,,13
GER,9102,Walter Steding,Hans-Werner Steding,HSC,16,6,5,14,22,13,15,,14
GER,9101,Stefan Giesler,Frank Böhm,VSAW,7,10,19,16,8,17,11,,15
FIN,9069,Jari Hamstroem,Tuomas Laurila,EMK,13,3,14,19,17,19,18,,16
GER,8965,Hasso Plattner,Peter Alarie,KYC,14,17,16,13,16,12,DNF,,17
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,17,15,23,20,15,18,14,,18
GER,8702,Martin Handel,Volker Böhringer,SGK,19,19,22,15,21,10,16,,19
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,21,24,9,18,20,22,DNC,,20
GER,8463,Friedrich Schropsdorff,Florian Rheimheimer,VSaW,18,20,21,23,19,16,20,,21
GER,8550,Martha Hauschild,Maxi Kempermann,SCS,22,21,20,22,24,20,19,,22
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,23,26,18,21,18,24,21,,23
GER,8458,Anika Kébreau,C. Wollenbecker,YCBG,24,22,27,24,26,25,23,,24
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,25,25,24,25,25,23,22,,25
GER,8697,Wilfried Stuis,Thorge Holm,YCN,27,27,26,27,23,21,24,,26
GER,8392,Dirk Barteldt,Georg Mittermayer,SCVP,26,23,25,26,27,26,25,,27
