Nr na żaglu,Helm,Crew,Klub,R1,R2,R3,T,Nr
GER 9102,Meike Schomäker,Holger Jess,ZSK,1,1,1,3,1
GER 9054,Morten Bogacki,Lars Dehne,DYC,2,2,2,6,2
GER 8929,Thomas Gosch,Antje Gosch,ENSFR,3,3,3,9,3
DEN 8440,Mikkel Christiansen,Mads Christiansen,AS,4,4,4,12,4
GER 9046,Jens Findel,Antje Gosch,KYC,5,5,5,15,5
GER 9070,Stefan Koechlin,Andreas Achterberg,SVS,6,6,6,18,6
GER 9020,Tim Böger,Markus Schöner,HSC,7,7,7,21,7
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,8,8,8,24,8
GER 8988,Jens Olbrysch,Oliver Thies,HSC,9,9,9,27,9
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,10,10,10,30,10
GER 8927,Steffen Achenbach,Hans-Heinrich Rix,,11,11,11,33,11
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,12,12,12,36,12
DEN 9109,Hans Genefke,Henrik Buhl,HS,13,13,13,39,13
GER 9040,Norbert Dasenbrook,Sven Meier,KSW,14,14,14,42,14
GER 8874,Henning Steffen,Tilman Giesen,SLRV,15,15,15,45,15
GER 8656,Carsten Hehl,Dr Christian Bühring-Uhle,NRV,16,16,16,48,16
GER 8609,Jörn Wille,Martin Bergmann,MSC,17,17,17,51,17
DEN 8828,Michael Wonterghem,Fabiola Wonterghem,,18,18,18,54,18
GER 8458,Anika Kébreau,Raik Wollenbecker,YCBTF,19,19,19,57,19
GER 8317,Christina Burger,Stefan Schmidt,ZSK,20,20,20,60,20
GER 8392,Konrad Barop,Dirk Barteldt,NSV,21,21,21,63,21
GER 8463,Friedrich Schropsdorff,Florian Rheinheimer,VSAW,21,21,21 DNF,63,21
