Boat,Helm,Crew,Team Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,,R,N,Place
GER 9071,Dr Wolfgang Hunger,Wolfgang Dr Hunger,PYC,2,1,1,1,1,2,2,2,10,(51) DNF,3,,76,25,1
GER 9090,Christian Kellner,Martin Schoeler,HSC,6,2,6,5,(8),1,1,3,1,1,7,,41,33.  0,2
GER 9112,Morten Bogacki,Lars Dehne,DYC,1,4,8,(9),6,4,6,4,2,4,5,,53,44,3
GER 8875,Jens Findel,Johannes Tellen,KYC,10,5,(11),7,7,5,4,5,4,2,2,,62,51,4
GER 9070,Stefan Koechlin,Andreas Achterberg,SVS,5,10,5,2,3,(29),8,6,5,3,4,,80,51,5
GER 9102,Meike Schomäker,Holger Jess,ZSK,4,3,3,6,5,10,7,7,7,(51) DNF,9,,112,61,6
FRA 9075,Philippe Boite,Erwan Grossmann,,8,8,7,3,(15),12,5,9,6,5,10,,88,73,7
GER 8992,Claas Lehmann,Leon Oehme,NRV,7,7,4,14,(18),9,11,10,3,8,8,,99,81,8
GER 9035,Stefan Böhm,Gerald Roos,SCV,3,6,(51) DSQ,11,4,3,3,1,51 DNC,6,1,,140,89,9
SUI 9096,Cédric Bart,Laurent Grob,CNB,17,13,18,10,10,14,12,11,(51) DNC,7,12,,175,124,10
GER 9110,Tim Böger,Markus Schöner,HSC,11,9,23,26,19,21,9,12,8,(28),6,,172,144,11
FRA 9099,Xavier Broise,Alain Karadjian,,16,18,15,12,9,15,(20),17,17,10,19,,168,148,12
GER 9059,Moritz Bohnenberger,Sebastian Salein,DTYC,15,15,10,4,12,11,16,(51) DNF,51 DNC,16,11,,212,161,13
FRA 9076,Bertrand Loyal,Nicolas Desjamonires,,14,17,16,15,11,6,13,8,11,(51) DNF,51 DNC,,213,162,14
AUS 9028,Earle Alexander,Arne Lanatowitz,Darling Point SS,(51) DNC,14,12,24,28,20,17,14,9,15,13,,217,166,15
GER 8669,Jan-Philipp Hofmann,Martin Görge,DYC,22,12,9,13,16,(51) DNC,18,13,13,26,27,,220,169,16
GER 8720,Lennart Tasche,Frederik Tasche,WSVG 09,21,19,20,18,20,16,21,(51) DNC,16,9,16,,227,176,17
GER 8988,Jens Olbrysch,Oliver Thies,HSC,12,16,14,(27),22,18,24,16,24,22,21,,216,189,18
