Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,9071,Wolfgang Hunger,Julien Kleiner,PYC,1,1,1,1,1,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,2,3,2,2,DNC,,2
GER,9070,Stefan Köchlin,Thomas Jung,SKF,4,2,4,11,4,,3
GER,9055,Andreas Jungclaus,Thomas Tschentscher,HSC,7,5,5,3,2,,4
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,5,6,3,4,3,,5
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,3,10,6,7,8,,6
GER,8875,Jürgen Anton,Arne Lanatowitz,HSC,19,4,8,5,7,,7
GER,8929,Tom Gosch,Antje Gosch,ENSFV,6,9,DNF,6,5,,8
GER,8903,Steve Kwee,Thorsten Spötter,HSC,8,8,7,8,6,,9
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,9,13,11,9,13,,10
GER,8932,Christian Henge,Katja Henge,OSG,15,14,9,12,9,,11
GER,8730,Iris Anton,Bruno Laudage,HSC,11,12,15,10,11,,12
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,12,11,14,14,10,,13
GER,8317,Christina Burger,Stefan Schmidt,WSCW,16,7,13,15,14,,14
GER,8392,Konrad Barop,Georg Mittermayer,RSV,10,16,10,17,DNC,,15
GER,8654,Philipp Müller,Johannes Keil,SGAM,14,19,12,16,12,,16
GER,8522,Henning Oberbeck,Simon Blessing,HSC,13,17,16,19,15,,17
GER,8999,Karsten Stümpel,John Christiansen,HSC,18,15,DNF,13,16,,18
GER,8989,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,17,18,17,18,17,,19
