NR,Sternik,Załoga,Klub,R1,R2,R3,R4,R5,R6,PKT,M
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1,1,1,1,1,DNS*,5,1
POL 9170,Karol Milewski,Jan Siekierzyński,,2,2,4,3,6*,1,12,2
POL 8875,Dariusz Konopczak,Piotr Kosobucki,Dobra Marina Szczecin,3,4,6*,2,4,3,16,3
POL 9020,Tomasz Brzozowski,Paweł Choroba,KŻ Horn Kraków,7,DNF*,2,4,3,2,18,4
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZKŻ Zbąszyń ŻMKS-Poznań,6,8,11,5,2,DNF*,32,5
POL 8493,Mieczysław Szwed,Mateusz Grużewski,Centrum Żeglarskie Szczecin,DNF*,11,8,6,5,6,36,6
POL 8802,Dominik Ostrowski,Agnieszka Marach,SWOS Warszawa,DNF*,10,3,11,7,7,38,7
POL 8909,Jan Domański,Roman Główka,JDC/Legia Warszawa,5,5,OCS*,9,DNF,4,40,8
POL 8483,Mariusz Michalski,Piotr Duma,Yacht Klub Stal Gdynia/Polskie Stowarzyszenie Klasy 505,8,9*,9,7,8,8,40,9
POL 8751,Anna Zabłocka,Wojciech Kasprzyk,Centrum Żeglarskie Szczecin,9,7,7,12*,9,10,42,10
POL 7942,Jan Sibilski,Michał Prończuk,ŻLKS Poznań,DNF*,DNS,5,8,10,5,45,11
POL 8145,Paweł Kluczyński,Dominik Krawiec,AZS Poznań,DNS*,6,DNC,10,11,11,55,12
POL 9132,Przemek Zagórski,Michał Olko,Yacht Klub Stal Gdynia,4,3,OCS*,DNC,DNC,DNC,58,13
POL 8490,Marcin Pfeiffer,Dominik Narloch,UKS WODNIACY GARCZYN,DNC*,12,10,DNF,12,DNF,68,14
POL 376,Jerzy Plewa,Tomasz Zubelewicz,,DNC*,DNC,DNC,13,13,9,69,15
IRL 8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,DNC*,DNF,DNC,DNC,DNC,DNC,85,16
