NR,Sternik,Załoga,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,PKT,M
POL 9118,Jakub Pawluk,Marcin Józefowski,Legia Warszawa K.S Spójnia - Warszawa,7,1,1,1,1,1,2,1,1,DNC*,16,1
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1,4,2,3,5,5,6*,2,2,1,25,2
POL 9170,Karol Milewski,Jan Siekierzyński,Yacht Klub Stal Gdynia,3,3,4,5*,2,2,3,3,3,2,25,3
POL 9020,Tomasz Brzozowski,Paweł Choroba,Klub Żeglarski Horn Kraków,2,2,3,2,6,4,1,DSQ*,4,6,30,4
POL 8812,Sławomir Plichta,Paweł Prus,Yacht Klub Stal Gdynia,5,5,5,8,13*,9,4,6,6,3,51,5
POL 8909,Jan Domanski,Roman Główka,JDC,OCS*,6,6,7,3,3,9,7,10,5,56,6
POL 8875,Dariusz Konopczak,Piotr Kosobucki,Dobra Marina Szczecin,8,11,9,9,8,7,13*,4,5,4,65,7
POL 170,Michał Strusiński,Stefan Romanik,,4,7,7,6,4,6,8,DNS*,DNF,DNF,78,8
POL 8802,Dominik Ostrowski,Agnieszka Marach,SWOS Warszawa,11,14*,11,10,12,10,7,5,8,7,81,9
GER 9224,Konrad Otto,Hermann Wollenbecker,,6,16,10,4,7,8,5,DNC*,DNC,DNC,92,10
POL 8483,Mariusz Michalski,Piotr Duma,Yacht Klub Stal Gdynia Polskie Stowarzyszenie Klasy 505,9,8,13,12,14,12,15,OCS*,9,8,100,11
POL 8493,Mieczysław Szwed,Mateusz Grużewski,Centrum Żeglarskie Szczecin,10,9,8,11,11,14,14,DNS*,DNF,DNC,113,12
POL 8145,Paweł Kluczyński,Kacper Kaczmarek,AZS Poznań,OCS*,15,12,13,10,11,12,DNS,7,OCS,116,13
POL 8212,Michał Tracz,Andrzej Zdrojek,,12,10,14,14,17,17,16,8,DNF*,DNC,126,14
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZKŻ Zbąszyń ŻMKS-Poznań,OCS*,12,DNF,DNC,9,13,10,DNS,DNS,DNC,134,15
POL 8463,Jacek Ludwiczak,Stanisław Karmoliński,YACHT CLUB REWA,13,13,15,DNC*,15,16,11,DNS,DNS,DNC,137,16
POL 8751,Wojciech Kasprzyk,Maciej Kasprzyk,Centrum Żeglarskie Szczecin,DNF*,17,DNF,DNC,16,15,17,DNS,11,9,139,17
