Rank,SailNo,Club,HelmName,CrewName,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett
13,8786,PVG yacht club,Pierre Jeangirard,langdon,15.0,13.0,1.07.2000,1.11.2000,(40.0 RET),1.05.2000,1.10.2000,(17.0),1.12.2000,15.0,145.0,88.0
14,CAN 8821,KYC,Jeff Boyd,Martin ten Hove,16.0,15.0,17.0,18.0,1.08.2000,(19.0),(23.0),1.01.2000,15.0,1.10.2000,142.0,100.0
15,8192,royal vancouver yacht club,philip cragg,Reto,20.0,22.0,1.10.2000,1.09.2000,1.06.2000,(23.0),1.07.2000,(25.0),1.11.2000,19.0,152.0,104.0
16,9190,PB,Douglas Hagan,Paul Von Grey,19.0,(21.0),1.12.2000,15.0,1.07.2000,1.10.2000,1.11.2000,(26.0),19.0,16.0,156.0,109.0
17,IRL 8987,Monkstown Bay Sailing Club,Peter Scannell,John Dunlea,1.09.2000,19.0,14.0,1.12.2000,(25.0),1.03.2000,(30.0),21.0,22.0,13.0,168.0,113.0
18,9041,Hampton YC,Henry Amthor,Dustin Romey,1.12.2000,1.11.2000,(24.0),24.0,17.0,(26.0),1.08.2000,19.0,14.0,1.08.2000,163.0,113.0
19,USA 9005,Hingham Yacht Club,Thomas Kivney,Gordon,17.0,14.0,19.0,1.07.2000,1.11.2000,17.0,(20.0),(30.0),18.0,1.11.2000,164.0,114.0
20,8930,LSYC,Duane Delfosse,Sol Marini,18.0,16.0,1.11.2000,17.0,(29.0),(24.0),18.0,1.11.2000,16.0,1.12.2000,172.0,119.0
21,8857,West River Sailing Club,Brendan Connell,Chase Hillyer,22.0,(28.0),1.08.2000,20.0,(31.0),20.0,17.0,20.0,1.08.2000,22.0,196.0,137.0
22,8866,Kitsilano Yacht Club,Cynthia Des Brisay,Charles Hansen,26.0,(29.0),22.0,21.0,22.0,1.07.2000,21.0,1.10.2000,(27.0),23.0,208.0,152.0
23,900,Nepean Sailing Club,Shona Moss Lovshin,Steve Lovshin,24.0,18.0,18.0,22.0,15.0,(31.0),(37.0),16.0,26.0,17.0,224.0,156.0
24,8288,OHCC,Robert Bartlewski,Nicolas Tosi,(28.0),20.0,(29.0),23.0,14.0,22.0,16.0,22.0,28.0,28.0,230.0,173.0
25,8083,Yale Corinthian Yacht club,Martin tipton,Adam Wolnikowski,(31.0),(31.0),20.0,31.0,28.0,21.0,27.0,1.06.2000,25.0,26.0,246.0,184.0
26,8735,NSC,Brent Beninger,Martin Hicks,21.0,32.5,23.0,28.0,16.0,(33.0),(40.0 DNC),14.0,20.0,32.0,259.5,186.5
27,8696,Nepean Sailing Club,Debbie Ashby,Dave Adams,23.0,(30.0),27.0,29.0,1.12.2000,27.0,15.0,29.0,(33.0),27.0,252.0,189.0
28,8850,Outer Harbour Centreboard Club,Douglas Watson,Peter Hale,25.0,25.0,28.0,25.0,26.0,30.0,(31.0),(39.0),23.0,24.0,276.0,206.0
29,8819,Hampton Yacht Club,Kyle Pfrang,Christopher Pfrang,30.0,26.0,26.0,27.0,18.0,32.0,26.0,28.0,(34.0),(40.0 DSQ),287.0,213.0
30,8439,CYC Seattle,Anne Fitzpatrick,Christian Pittack,(33.0),23.0,30.0,26.0,23.0,(34.0),24.0,31.0,30.0,29.0,283.0,216.0
31,8410,Nepean Sailing Club,Clarissa Bush,chris Gillies,29.0,24.0,32.0,(40.0 DNC),36.0,28.0,29.0,27.0,21.0,(40.0 DNC),306.0,226.0
32,9084,Hampton Yacht Club,Kaila Pfrang,Anna Patterson,36.0,(39.0),36.0,35.0,35.0,16.0,1.12.2000,24.0,(39.0),36.0,308.0,230.0
33,920,Nepean Sailing Club,Marie Gendron,Dave Brown,(40.0 DSQ),27.0,37.0,(40.0 DNF),30.0,25.0,35.0,32.0,29.0,25.0,320.0,240.0
34,8838,Hampton YC,sterling spruill,Steve Taylor,34.0,32.5,31.0,33.0,20.0,(36.0),32.0,(38.0),35.0,34.0,325.5,251.5
35,8587,Nepean Sailing Club,Paul Place,Samuel Place,35.0,(38.0),34.0,(40.0 DNF),27.0,29.0,28.0,33.0,36.0,31.0,331.0,253.0
36,8610,Nepean Sailing Club,Shona Weldon,Michael Wonnacott,27.0,(35.0),33.0,30.0,33.0,(38.0),33.0,35.0,31.0,33.0,328.0,255.0
37,9028,Nepean Sailing Club,Kyber Lovshin,Devlin Lovshin,32.0,34.0,(40.0 DNF),(40.0 DNC),37.0,35.0,36.0,34.0,32.0,30.0,350.0,270.0
38,USA 7773,Britannia Yacht Club,Michele Loewen,Imbaw Storer,(38.0),36.0,35.0,34.0,34.0,37.0,34.0,37.0,(38.0),35.0,358.0,282.0
39,8018,Cottage Park Yacht Club,Grace Olsen,Mike Hull,37.0,37.0,(38.0),32.0,32.0,(39.0),38.0,36.0,37.0,37.0,363.0,286.0




505 North Americans,,,,,,,,,,,,,,,,
Kingston Yacht Club,,,,,,,,,,,,,,,,
"Results are final as of 13:25 on August 25, 2019",,,,,,,,,,,,,,,,
Overall,,,,,,,,,,,,,,,,
"Sailed: 10, Discards: 2, To count: 8, Entries: 39, Scoring system: Appendix A",,,,,,,,,,,,,,,,
