Nation,Boat No,Helm,Crew,,,,
SWE,0,K.Bergström,PA.Hallberg,,,,1
SWE,0,Ebbe Rosén,Olle Wenrup,,,,2
SWE,0,Karl-Erik Nilsson,Anders Avén,,,,3
SWE,0,S.Eriksson,K.Lidman,,,,4
SWE,0,S.Eklund,A.Eklund,,,,5
,0,K-O.Strömberg,H.Carlander,,,,6
,0,B.Ferm,Sörensson,,,,7
,0,A.Pettersson,L.Nyholm,,,,8
,0,P.Oskarsson,L.Edström,,,,9
SWE,0,G.Berg,E.Kallin,,,,10
,0,L.Stugemo,P.Lindqvist,,,,11
SWE,0,J.Petersson,B.Zachrisson,,,,12
,0,A.Lindberg,N.Philipsson,,,,13
,0,P.Johnsson,L.Reinius,,,,14
SWE,0,T.Widstrand,J.Calvert,,,,15
,0,D.Ström,M.Lekman,,,,16
,0,M.Widmark,A.Rydqvist,,,,17
,0,Ö.Wesslén,Johansson,,,,18
,0,A.Björk,K.Björk,,,,19
,0,P.Nilsson,C.Gustavsson,,,,20
SWE,0,L.Lexell,Anders Karlsson,,,,21
,0,G.Söderström,,,,,22
,0,Siltberg,Hasselgren,,,,23
,0,T.Lindersson,Nilsson,,,,24
,0,A.Fastesson,J.Wennergren,,,,25
,0,Kylebäck,Nordberg,,,,26
,0,A.Malmström,H.Andersson,,,,27
,0,Teder,Larsson,,,,28
,0,Nygren,Nygren,,,,29
,0,A.Malm,Svensson,,,,30
