Nation,Boat No,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,points,place
FRA,,Jean Baptiste Dupont,Jerome Legeai,CV PARIS,1*,1,1,1,1,4,1
FRA,8676,Marcel Buffet,Olivier Thiberge,CV PARIS,2,5,2,2,6*,11,2
FRA,8711,Eric Quemard,Dominique Lambard,CV PARIS,10 OCS*,4,3,3,2,12,3
FRA,,Thierry Muniglia,Jean-Paul Lozouet,CVML,4,10 DSQ*,7,4,3,18,4
FRA,,Thomas Pype,Jean Pierre Noclain,C V VALENCIENNES,3,2,6,10 DNC*,10 DNC,21,5
FRA,,Roger Chabaud,Romain Delmotte,C V VALENCIENNES,5,6,5,10 DNC*,10 DNC,26,6
FRA,8484,Philippe Blanchard,Bernard Edel,A C D'ALSACE LORRAIN,10 OCS*,3,4,10 DNC,10 DNC,27,7
FRA,,Stanislas Rault,Thierry Gougeon,CVML,10 OCS*,7,OCS,6,4,27,8
FRA,,Jean-Pierre Derungs,Mathis Derungs,CVML,10 DNF*,10 DNC,10 DNF,5,5,30,9
