Nation,Boat NO,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew club,points,place
FRA,,Loyal Bertrand,Detappe Xavier,S R ROCHELAISES,DNC,DNC,1,2,1,1,1,1,S R ROCHELAISES,7,1
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,8,2,5,1,2,4,5,2,C V BORDEAUX C M,16,2
FRA,,Nevo Laurent,Bouton Fabrice,S R ROCHELAISES,1,3,6,4,5,3,2,DNC,C V BORDEAUX C M,18,3
FRA,8400,Faucheux Florian,Croce Nicolas,C N CANET PERPIGNAN,11,10,2,5,3,5,6,3,C N CANET PERPIGNAN,24,4
FRA,,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,4,6,3,3,4,16,4,8,CVSQ,24,5
FRA,,Guillou Nicolas,Got Guillaume,S N P H,9,7,4,7,6,2,3,DNC,S N P H,29,6
FRA,,Gachet Claude,Valery Kleber,YC Grenoble Chara.,2,9,11,12,11,9,8,4,YC Grenoble Chara.,43,7
FRA,,Hardouin Elsa,Biecheler-Fiocconi Sophie,S N P H,7,5,12,8,10,DNC,13,5,S N P H,47,8
FRA,,Puissant Jean-Guy,Le Guen Bernard,CV LAC 3 PROVINCES,3,11,10,10,14,6,11,11,C.V. Joué-lès-Tours,51,9
FRA,,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,5,4,DNC,OCS,7,11,17,7,C V SEINE-PORT,51,10
FRA,,Martin Aline,Gougeon Matthieu,C V SEINE-PORT,6,1,8,OCS,8,DNC,12,DNC,CVML,57,11
FRA,,François de Lisle,Brillaud Herve,C N FERRET,12,12,9,14,13,8,7,9,C N FERRET,57,12
FRA,,Silvestre Christian,Aumont Gerard,CVSQ,14,8,7,6,9,14,DNC,DNC,CVSQ,58,13
BEL,,Viaud Pascal,Gautier Francois,S R ROCHELAISES,17,14,13,9,15,7,9,DNC,S R ROCHELAISES,67,14
FRA,,Veroul Frederic,Huet Sebastien,C N VASSIVIERE,15,13,14,13,12,10,14,6,C N VASSIVIERE,68,15
FRA,,Ingrand Mathieu,Plathier Yann,YC Grenoble Chara.,10,15,16,11,16,12,10,10,YC DECINES,68,16
FRA,,Peter Vincent,Lozouet Jean-Paul,WIND 14,20,19,17,15,17,13,16,12,CVML,90,17
FRA,,Derungs Jean-Pierre,Derungs Mathis,CVML,18,DPG,19,17,20,17,15,DNC,CVML,104,18
FRA,,Vincens Edgard,Baldelli Jean-Luc,C N FERRET,16,18,DNC,16,19,15,DNC,DNC,C V BORDEAUX C M,106,19
FRA,,Blanke Philippe,Lapijover Yoann,S N O NANTES,13,17,15,DNC,DNC,DNC,DNC,DNC,S N O NANTES,111,20
FRA,,Dechauffour Jacques,Dechauffour Sabine,A.N. ILE AUX MOINES,19,20,18,18,18,DNC,DNC,DNC,A.N. ILE AUX MOINES,115,21
