Nation,Boat no,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Crew Club,Pts,place
FRA,8270,Claude Gachet,Florian Fort,YC Grenoble Chara.,1,1,3,4*,A C T V,5,1
FRA,7941,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,2,2,1,6*,A C D'ALSACE LORRAIN,5,2
FRA,,Jean-Baptiste Dupont,Jerome Legeai,CV PARIS,3,6*,2,3,CV PARIS,8,3
FRA,8847,Michel Boiry,Xavier Broise,CV PARIS,6*,4,6,1,CERGY VOILE 95,11,4
GER,,Alexandre Holzapfel,Dirk Ipach,ALLEMAGNE,4,3,4,5*,,11,5
FRA,8676,Marcel Buffet,Guylain Marino,CV PARIS,10*,7,10,2,AMSL FREJUS CN,19,6
FRA,,Aurelie Plouviet,Jean-Marc Jungmann,C N Saint-Raphael,8,5,7,10*,C N Saint-Raphael,20,7
FRA,,Frederic Monnier,Laura Defossemont,YC Grenoble Chara.,11*,11,5,7,YC Grenoble Chara.,23,8
SUI,8077,Catherine Houriet,Gil Donze,SUISSE,5,9*,9,9,,23,9
FRA,,Mathieu Ingrand,Marie Agnes Catrix,YC Grenoble Chara.,7,12*,8,8,YC Grenoble Chara.,23,10
FRA,,Wenceslas Dieuzy,Wojciech Butkiewicz,CNA Serre Ponçon,9,8,12,13*,CNA Serre Ponçon,29,11
FRA,,Georges Chalandre,Michele Chalandre,YC Grenoble Chara.,12*,10,11,12,YC Grenoble Chara.,33,12
FRA,,Philippe Machecourt,Antoine Machecourt,YC Grenoble Chara.,13,13,15 DNF*,11,YC Grenoble Chara.,37,13
FRA,,Jean Claude Fessler,,P A C,15 DNC*,15 DNC,15 DNC,15 DNC,,45,14
