Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Pl.,
GBR 8960,Ian Pinnell,Carl Gibbons,GWSC,1,4,7,12,1
GER 8875,Jens Findel,Johannes Tellen,KYC,7,2,3,12,2
FRA 8902,Philippe Boite,Fabrice Toupet,CVM,10,3,1,14,3
GER 8721,Malte Christophersen,Sebastian Salein,KAR,5,7,2,14,4
SUI 8954,Florian Stauffer,Philippe Jacot,CVN,2,8,10,20,5
GER 8651,Christian Kellner,Martin Schöler,HSC,4,11,6,21,6
GER 8693,Michael Daisenberger,Florian Lautenschläger,DTYC,9,6,8,23,7
DEN 8826,Tom Bøjland,Mads Christiansen,Farum,13,15,5,33,8
SUI 8543,Cedric Bart,Veli Marti,CNB,16,5,20,41,9
GBR 8694,Mathart Helmsman,Terry Scutcher,SSC,15,23,11,49,10
GER 8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,17,16,17,50,11
FRA 8948,Pierre-Jean Gallo,Régis Viateur,CNE,11,19,23,53,12
BEL 8773,Pietr Van Loer,Eric Froidmont,,19,17,18,54,13
GER 8940,Jörg Thumann,Oliver Stieglitz,TuSJ,20,20,16,56,14
FRA 8748,Broise Xavier,Gilles Carvallo,CNH,12,13,32,57,15
FRA 8748,Serge Gubri,Thibault Di Pede,JMIAM,14,30,14,58,16
GER 8672,Karsten Contag,Guido Von Walter,SCLW,8,27,26,61,17
SUI 8569,Rene Betschen,Lionel Hollinger,CNB,26,9,28,63,18
FRA 8270,Claude Gachet,Florian Fort,YCG,23,18,22,63,19
FRA 8705,Jean-Baptiste Dupont,Jerome Legeai,AS,32,25,9,66,20
FRA 8895,Mathieu Devaux,Philippe Dubuc,,34,21,13,68,21
FRA 8870,Christian Silvestre,Christian Vallaud,CVB,24,22,25,71,22
GER 8609,Alexander Holzapfel,Carsten Engel,PSVK,22,35,15,72,23
GER 8728,Meike Schomäker,Rainer Görge,ZSK,3,1,DNF,72,24
GER 8751,Franziska Unkelbach,Angela Stenger,KYC,30,26,21,77,25
GER 8956,Jan Forster,Marcus Neuß,SGaM,6,DSQ,4,78,26
ITA 8127,Marco Gambardella,Roberto Candela,,18,37,24,79,27
FRA 8635,Herve De Kageriou,Laurent Camusson,,37,31,12,80,28
GBR 8955,Simon Lake,Ben Iliffe,P.Cambs,33,12,43,88,29
FRA 8402,Loic Bleuez,Frederic Roucayrol,,28,29,38,95,30
GER 8928,Hendrik Schultz,Ute Oberländer,SCLW,38,34,29,101,31
FRA 7941,Veronique Brenet,Jean-Pierre Peter,ACAL,44,32,27,103,32
BEL 8880,Geert De Pauw,Koen Jourquin,NWVN,31,33,39,103,33
GER 8929,Jürgen Waldheim,Martin Maal,PYC,41,45,19,105,34
GER 8958,Stefan Köchlin,Axel Priegann,SKF,27,10,DSQ,105,35
FRA 8508,Aurelie Plouviet,Jean-Marc Jungmann,,29,46,31,106,36
GER 8712,Siegfried Labenz,Christian Labenz,SVWu,34,41,30,105,37
ITA 8743,Marco Giraldi,Gioretti Cesare,UVM,52,24,33,109,38
FRA 8716,Aline Martin,Gildas Sever,,36,36,37,109,39
GER 8563,Stefan Schmidt,Jens Lücke,SVSS,21,52,42,115,40
FRA 8400,Florian Faucheux,Cedric Faucheux,CST,40,14,DSQ,123,41
GER 8473,Oliver Kraft,Andrea Goeggel,SSCM,50,39,35,124,42
GER 8418,Jan Sell,Wiebke Gewinn,TUSF,43,38,44,125,43
SUI 8079,Lorenz Nydegger,Martin Nydegger,SCB,48,43,36,127,44
GER 8530,Alexander Von Mertens,Pia Wiesbauer,StSC,49,42,40,131,45
FRA 8847,Michel Boiry,Matthieu Gougeon,CVP,45,44,45,134,46
GER 8513,Sven Dömges,Andreas Happich,ESV86,25,DNC,41,134,47
GBR 8925,Martin Wedge,Scott Allen,RBYC,39,28,DSQ,135,48
GER 8744,Lutz Kandzia,Thorsten Pieper,ASV,DNC,40,34,142,49
SUI 8077,Catherine Houriet,Gilles Donze,,42,47,54,143,50
FRA 904,Etiwnne Markt,Delphine Markt,,46,51,49,146,51
GBR 8907,Jim Berry,David Barnes,CVSC,51,48,48,147,52
FRA 8943,Michael Delsemme,Roland Delsemme,ST Tropez,47,50,52,149,53
ITA 8944,Luca Manti,Alfredo Annese,,53,56,47,156,54
FRA 7929,Jean Philippe Hermieu,Francoise Mallet,St Tropez,54,54,50,158,55
FRA 6245,Lawrenc Banahan,Jean Philippe Gastaud,,56,57,46,159,56
FRA 8515,Yves Niddam,Thierry Gresle,,58,49,53,160,57
FRA 8353,Eric Verplanken,Charles Courbonne,,59,53,51,163,58
FRA 771,Dominique Rouanne,Virginie Laurrent,,60,55,55,170,59
FRA 8711,Eric Quemard,Dominique Lambard,CVP,61,58,57,176,60
FRA 7541,Wenceslas Dieuzy,Wojciech Butkiewicz,,62,60,56,178,61
ITA 8671,Roberto Loce,Giovanni Giacometti,,55,DNC,58,181,62
FRA 4664,Denis David,Thomas Denis,,57,59,DNF,184,63
FRA 8002,Jean-Philippe Artielle,Virginie Auger,,63,DNC,DNF,199,64
FRA 8372,Bertrand Molinier,Adrien Surbier,,64,DNC,DNF,200,65
