Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Crew Club,Points,Place
FRA,,Philippe Boite,Fabrice Toupet,CVSQ,2,1,2,1,CVSQ,4,1
FRA,,Serge Gubri,Thibault Di Pede,C V SEINE-PORT,1,2,1,2,C V SEINE-PORT,4,2
FRA,8870,Christian Silvestre,Chloe Lafortune,CVSQ,4,5,3,3,C V SEINE-PORT,10,3
FRA,,Pierre Muh,Dominique Keraudren,C.N. VIRY CHATILLON,3,4,4,5,C.N. VIRY CHATILLON,11,4
FRA,,Xavier Broise,Jordane Lafortune,CERGY VOILE 95,5,3,7,4,C V SEINE-PORT,12,5
FRA,,Olivier Thiberge,Maud Atamaniuk,CV PARIS,6,6,6,DNS,C V SEINE-PORT,18,6
FRA,,Christian Martenot,Baptiste Lafortune,C V SEINE-PORT,7,7,5,DNS,,19,7
FRA,,Bernard Blondy,Roger Chabaud,C V VALENCIENNES,8,8,DNF,6,C V VALENCIENNES,20,8
