Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,9003,Jesse Falsone,Chris Behm,Toxic Asset,3,1,4,[6],4,3,2,2,19,1
GBR,8708,Carl Smit,Mike Holt,Brian and Ted's Boat,1,3,5,[9],1,2,7,1,20,2
DEN,8830,Andrew Buttner,Jan Saugmann,8830,2,4,9,1,3,4,3,[14],26,3
USA,9173,Howard Hamlin,Jeff Nelson,Tyler's Boat,5,6,1,10,[11],1,6,5,34,4
USA,9165,Curtis Hartmann,,Boaty McBoatface,[17],11,8,14,13,6,1,9,62,5
USA,8841,Ali Meller,Mike Coe,Swagman,9,9,3,[17],6,17,15,7,66,6
USA,9041,Henry Amthor,Dustin Romey,Benchmark,7,2,20,[21],5,7,10,17,68,7
USA,8641,Nicholas Burke,Will Hundahl,Shanghae Noodle Factory,4,16,2,7,18,11,12,35/DNF*,70,8
USA,8913,Dan Herlihy,Jay Smith,Lucky Dog,8,14,11,4,12,[22],5,16,70,9
USA,8814,Lin Robson,Matt Gardiner,Sojourner,12,5,13,11,[16],16,9,4,70,10
GER,8681,Jens Findel,Stuart Park,Magic Marine,18,19,7,2,2,13,14,[20],75,11
USA,8808,Ben Greenfield,Russ Miller,USA8767,6,20,6,13,[24],10,19,6,80,12
USA,9095,Macy Nelson,Pat Diola,Highway 95 Revisited,10,7,10,5,[27],23,16,10,81,13
USA,7606,Brendan Connell,Clayton James,Battleship,16,10,[26],20,10,9,21,8,94,14
USA,90951*,Chris Segerblom,Kelsey Averill,Wood Shed,35/DNC*,35/DNC,35/DNC,8,7,5,4,3,97,15
USA,8939,Michael Komar,Andrew Vann,8939,21,[23],15,18,9,19,8,11,101,16
USA,9005,Thomas Kivney,Gordon Russell,Katiebear,35/DNC*,35/DNC,35/DNC,3,8,8,18,12,119,17
USA,8851,Amie Huebner,Ted Huebner,USA 8851,[24],18,16,22,15,14,20,15,120,18
USA,8919,Bryan Richardson,Dan Wittig,Safety Word,[30],25,17,19,14,12,13,21,121,19
CAN,8600,Marie Gendron,David Browne,Mistery,14,13,18,12,21,21,[31],22,121,20
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,19,8,14,25,23,[26],11,23,123,21
USA,7359,Catherine Brady,Christopher Brady,Hatoup,22,21,[23],16,17,15,22,13,126,22
USA,8883,Michael Renda,Stergios Papadakis,Jane's Addiction,[25],22,12,15,20,20,25,19,133,23
USA,8930,Duane Delfosse,Tom Hurwitch,8930,13,17,22,23,[26],25,24,24,148,24
USA,909*,Dylan Breton,Matthew Breton,Taylor,11,12,24,26,35/DNC*,27,23,30,153,25
USA,9138,Kaila Pfrang,Christopher Pfrang,9138,26,15,25,24,19,18,[30],26,153,26
CAN,8735,Brent Beninger,Martin Hicks,Spaghetti Factory,20,24,21,[27],22,24,17,25,153,27
USA,8850,Doug Watson,Chris Woods,Dr. Crash,15,28,27,29,[30],29,26,18,172,28
USA,6985,Michael Breton,,No Surrender,23,26,19,30,25,35/DNC*,35/DNC,35/DNC,193,29
USA,8059,David Neal,Ben MacIntire,Matilda,29,27,[29],28,29,28,27,27,195,30
USA,8822,David Burchfiel,Bob Williams,Wicked Pissa,27,29,28,[32],28,30,29,29,200,31
USA,8766,Ian Conners,Jimmie Cockerill,The Shocker,28,30,30,[31],31,31,28,28,206,32
USA,8244,Paul Andron,Bill Bramble,Hodor,31,31,31,[33],32,33,32,31,221,33
USA,19*,Gretchen Esbensen,Lauren Sinclair,Bedazzler,35/DNC*,32,35/DNF,35/DNC,35/DNC,32,35/DNC,35/DNC,239,34
