Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
USA,9003,Jesse Falsone,,Toxic Asset,1,1,[3],1,1,1,3,8,1
USA,8830,Andrew Buttner,,NESS,3,2,1,[7],2,2,4,14,2
USA,8851,Ted Huebner,,USA 8851,2,[7],2,4,3,5,1,17,3
USA,7606,Brendan Connell,,Battleship,6,5,4,2,4,[9],8,29,4
USA,8930,Duane Delfosse,,8930,[8],6,5,3,5,4,7,30,5
USA,9041,Henry Amthor,,Henry/Russell,4,3,[6],6,6,6,6,31,6
IRL,8987,Peter Scannell,,Lookadatla,5,4,7,12/DNC*,12/DNC,3,2,33,7
USA,9108,Craig Thompson,,Justin's Parker,7,[8],8,5,7,7,5,39,8
USA,8059,David Neal,,Matilda,10,9,9,8,8,10,12/DNF*,54,9
USA,8939,John Wyles,Gareth Fletcher,Silver Seahorse,9,10,10,9,12/DNF*,8,9,55,10
USA,8172,Paul Kueffner,,Étoile,12/DNC*,12/DNC,12/DNC,12/DNC,12/DNC,12/DNC,12/DNC,72,11
