Nat,SailNo,HelmName,,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
SWE,8962,Peter Bökmark,,BKSS,(3),3,3,1,1,2,13,10,1st
SWE,8926,Ebbe Rosén,,MKS,(7),1,2,3,4,1,18,11,2nd
SWE,8912,Toni Hastenpflug,,BKSS,1,5,1,(6),2,3,18,12,3rd
SWE,9029,Tomas Grundel,,KSSS,2,2,(4),2,3,4,17,13,4th
SWE,9143,Thomas Lundberg,,KSSS,5,4,5,5,(7),5,31,24,5th
SWE,8586,Galen Mack,,KSSS,4,(6),6,4,6,6,32,26,6th
SWE,9117,Fredrik Molander,,Bkss,6,(7),7,7,5,7,39,32,7th
SWE,8257,Lars Magnusson,,Trälhavets Båtklubb,(10 DNC),10 DNC,10 DNC,8,8,8,54,44,8th
SWE,8581,Viktor Wecke,,KSSS,(10 DNC),10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,60,50,9th
