Nation,SailNo,Helm,Crew,Club,Race 1,Total,Rank
CAN,8192,Philip Cragg,Reto Corfu,,,,1
CAN,7353,Ian Plumbley,John Hayley,,,,2
CAN,7610,Cynthia des Brisay,Charles Hansen,,,,3
USA,8868,Piper Dunlap,Dan Ginther,,,,4
CAN,8755,Brian Trainor,Evan Jennings,,,,5
USA,8960,Bruce Van Deventer,Scott Weiler,,,,6
GBR,8867,Patrick McGale,Shawn Rankins,,,,7
USA,8831,Pierre Jeangirard,Paul von Grey,,,,8
USA,8554,Christian Pittack,Anne Fitzpatrick,,,,9
CAN,7039,Rick Parkinson,Kate Truscott,,,,10
USA,8245,Charlie Dore,David Knight,,,,11
CAN,7111,Dave Phillips,Mark Phillips,,,,12
