nation,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Rank
USA,8629,Chris Behm,Jesse Falsone,HYC/SSA,1,2,1,1,1,2,[4],2,[21 DNC],35,10,1
CAN,8264,Jeff Boyd,Martin ten Hove,KYC,3,3,5,[7],4,3,1,1,[10],37,20,2
USA,8012,Henry Amthor,Dustin Romey,HYC,2,1,3,2,2,4,[7],6,[8],35,20,4
USA,8722,Macy Nelson,Parry Barclay,WRSC/LEHYC,[8],4,2,6,[7],1,5,3,4,40,25,8
USA,7611,JB Turney,Ned Turney,,4,6,[21 DNF],4,3,[15],6,4,1,64,28,16
USA,7346,John Loe,Craig Thompson,,6,[21 DNF],4,5,[9],5,9,5,3,67,37,32
CAN,8442,Kroeger,Stephen Adolph,NSC,5,8,[21 DNF],3,6,[13],2,10,5,73,39,64
CAN,8696,Asbury,David Adams,NSC,9,5,10,8,10,7,3,[11],[12],75,52,128
USA,8194,Thomas Kivney,Gordon Russell,HYC,7,7,6,11,8,6,[13],9,[21 DNC],88,54,256
USA,8018,Matt Davidge,Solomon Marini,,11,10,9,[13],5,8,[16],7,9,88,59,512
CAN,7197,Dave Bradly,Ian Torrie,NSC,10,9,8,12,[14],11,8,[13],6,91,64,1024
USA,8660,Nelson,Brady,WRSC,[16],11,7,9,13,[17],14,8,14,109,76,2048
USA,8850,Douglas Watson,Gabriel Watson,WRSC,14,13,13,10,[18],10,12,[21 DNF],7,118,79,4096
CAN,8610,Shona Weldon,Michael Wonnacott,NSC,12,[15],11,14,15,[18],15,12,15,127,94,8192
CAN,8535,Margaret Hurley,Peter Wood,NSC,[21 DNF],[21 DNF],21 DNF,21 DNF,11,14,10,11.7 RDG,13,"143,7","101,7",16384
CAN,8410,Clarissa Bush,Chris Gillies,NSC,17,[21 DNF],[21 DNF],21 DNF,12,9,11,21 DNF,11,144,102,32768
USA,7566,Katrin Deinhardt,Olav Schluter,,13,14,[21 DNF],[21 DNF],21 DNF,16,21 DNF,21 DNF,2,150,108,65536
USA,7876,Kim Preston-Thomas,Jon Preston-Thomas,NSC,15,12,12,[21 DNF],16,19,[21 DNF],21 DNF,16,153,111,131072
CAN,8587,Pat Ware,Trousdale,KYC,18,[21 DNF],[21 DNF],21 DNF,17,12,17,14,17,158,116,262144
CAN,8910,Alison Janidlo,Tom Janidlo,NSC,[21 DNF],[21 DNF],21 DNF,21 DNF,19,21 DNF,21 DNF,21 DNF,18,184,142,524288
