Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
USA,8714,Howard Hamlin,Mike Martin,NHYC,2,1,3,10,1,1,18,,1
AUS,8801,Peter Chappell,Ian Davidson,,1,6,1,2,11,5,26,,2
AUS,8795,Alexander Higgins,Paul Marsh,,7,3,2,7,6,17,42,,3
USA,7771,Andy Beeckman,Ben Benjamin,,DNF 94,4,6,12,3,8,127,,4
AUS,8809,Leslie Nathanson,Richard Machin,,4,7,7,11,21,6,56,,5
USA,8762,Daniel Thompson,Andrew Zinn,NHYC,5,DNC 94,5,14,4,15,137,,6
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley,11,9,8,6,9,12,55,,7
AUS,8784,Hugh Stodart,Peter Holden,,DNF 94,8,10,9,17,4,142,,8
AUS,8280,Michael Quirk,Geoff Lange,MHYC,10,14,38,8,12,11,93,,9
AUS,8395,Luke Molloy,Lucas Prescott,,3,5,4,DNC 94,34,10,150,,10
USA,8722,Macy Nelson,Jesse Falsone,WRSC,DNF 94,18,14,15,10,2,153,,11
AUS,8782,Andrew Hewson,Frank Karlovecz,,DNF 94,15,13,28,13,9,172,,12
AUS,8813,Brett Van Munster,Andrew Petch,GSC-A,DNF 94,20,9,22,5,23,173,,13
USA,8627,Tim Collins,Drew Buttner,,DNF 94,21,28,16,16,7,182,,14
AUS,8738,Paul Mitchell,Sam Haines,WSC,13,24,22,26,14,29,128,,15
USA,8554,Doug Hagan,Stuart Park,,DNF 94,34,19,20,7,22,196,,16
GBR,8555,Dave Smithwhite,Neil Fulcher,HISC,9,13,11,21,52,DNC 94,200,,17
AUS,8523,Peter Hewson,Morgan Bax,,DNF 94,11,12,39,27,19,202,,18
AUS,8710,Justin Mitchell,Ken Mitchell,,12,17,16,43,41,24,153,,19
USA,8012,Henry Amthor,Steve Sparkman,,DNC 94,36,20,30,19,13,212,,20
AUS,8547,Anthony Gaunt,Michael Duffield,,8,44,27,35,42,22,178,,21
AUS,8506,Mark Robertshaw,Peter Crommelin,,15,26,34,25,DNC 94,38,232,,22
AUS,8501,Stuart Campbell,Ian Pinder,,14,43,35,56,23,25,196,,23
USA,8808,Evert Meyer,Jeff Nelson,,DNF 94,33,25,33,38,18,241,,24
GBR,8419,Stuart Turnbull,Jason Lunn,Burton,DNC 94,42,23,24,32,39,254,,25
USA,8616,Dave Chatham,Graham Schelter,,DNF 94,12,18,31,56,44,255,,26
NZL,8044,Ben Duncan,Colin Spence,,16,16,31,55,69,47,234,,27
AUS,8354,Renee de Voogd,Anthony Dean,,20,35,45,49,26,41,216,,28
USA,8643,Barney Harris,Clayton James,,DNF 94,38,30,62,8,32,264,,29
AUS,8796,Malcolm Higgins,Andrew Chisholm,,DNF 94,22,15,18,15,DNC 94,258,,30
AUS,8785,Ian Burford,Wayne Boyd,,19,37,37,52,30,56,231,,31
AUS,8177,Michael Navarro,Simon Wilder,,DNF 94,30,43,19,33,55,274,,32
AUS,8588,Murray Smith,Michael Hughes,,DNF 94,31,20,41,43,48,277,,33
AUS,8399,Bill Cuneo,Luke White,,DNF 94,29,29,65,28,35,280,,34
AUS,8618,Torvar Mirsky,Bjorn Nielsen,,DNF 94,50,36,37,36,30,283,,35
USA,8731,Thad Lieb,Mike Smith,,DNF 94,23,32,66,44,33,292,,36
AUS,8798,Mark Stowell,Scott Bailey,,DNF 94,32,26,58,58,36,304,,37
AUS,7984,Will Gunzburg,Steve Knuckey,,17,57,39,42,56,DNC 94,305,,38
AUS,8041,Ben Hunter,Ben Amos,,18,48,46,61,67,43,283,,39
AUS,8739,Ian Dunn,David Horsfall,HISC,DNF 94,45,33,32,53,57,314,,40
AUS,8781,Earle Alexander,Dustin Carlsson,RQYS,DNC 94,19,49,63,45,54,324,,41
AUS,8667,Scott Olsen,Sean Gregory,,DNF 94,DNF 94,DNC 94,4,25,3,314,,42
AUS,8811,Matthew Hansen,Shane Attwell,,DNF 94,39,24,46,29,DNC 94,326,,43
FRA,8748,Jerome Terrasson,Gilles Carvallo,,DNF 94,46,55,48,40,63,346,,44
GBR,8726,Martin Stainsby,Steve Watson,HiSC,DNC 94,41,DNC 94,47,35,27,338,,45
AUS,8810,David Alexander,Marcus Cooper,,DNF 94,DNC 94,DNC 94,13,24,16,335,,46
AUS,8626,Alex Murray,Iain Gordon Murray,,DNC 94,28,DNC 94,45,49,34,344,,47
GER,8744,Hans-Heinrich Rix,Martin Schöler,TSVS,DNF 94,DNC 94,DNC 94,23,18,14,337,,48
GER,8775,Tom Swift,Holger Jess,NRV,DNF 94,DNC 94,DNC 94,5,37,20,344,,49
AUS,8756,Ross Brennan,Bill Kennedy,,DNF 94,53,41,54,62,59,363,,50
GBR,8745,Chris Pearson,Brendan Brittliffe,QMSC,DNF 94,54,44,51,72,52,367,,51
AUS,8356,Tessa Parkinson,Bronwyn Polkinghorne,,6,66,DNC 94,76,66,61,369,,52
AUS,8173,Michael Babbage,Jeremy Fussell,,DNF 94,61,50,60,63,42,370,,53
AUS,8759,Scott Ovenden,Gary Hardman,,DNF 94,25,17,29,DNC 94,DNC 94,353,,54
AUS,8223,Steve Kennedy,Luke Patterson,,DNF 94,49,DNC 94,68,20,37,362,,55
AUS,8628,Brian Robinson,Paul Harris,,DNC 94,27,DNC 94,59,46,45,365,,56
AUS,8499,Alexander Meller,Pip Pearson,SEVER,DNF 94,58,DNC 94,50,39,40,375,,57
AUS,8589,Mark Barber,Rob Bate,,DNF 94,51,57,64,60,62,388,,58
AUS,8764,Geoff Holden,John Tyrell,,DNF 94,59,42,71,75,60,401,,59
FRA,8704,Thibault Di Pede,Christian Martenot,,DNF 94,62,48,74,77,49,404,,60
GBR,8743,Ian Barker,Daniel Cripps,,DNF 94,2,DNC 94,1,DNC 94,DNC 94,379,,61
GBR,8773,Simon Payne,Bill Masterman,HISC,DNF 94,DNC 94,DNF 94,3,2,DNC 94,381,,62
AUS,8803,Kate Quinn,Nick Dahl,,DNF 94,40,40,80,82,75,411,,63
AUS,8558,Richard Hyde,Samuel Hyde,,DNC 94,56,47,75,71,68,411,,64
ZIM,8445,Patrick Mccosh,George Calder-Potts,Mazoe,DNF 94,63,56,72,61,69,415,,65
GBR,8774,Ian Pinnell,Steven Hunt,GWSC,DNF 94,10,DNC 94,17,DNC 94,DNC 94,403,,66
USA,8790,John Wyles,Andrew Chadwick,,DNF 94,DNF 94,52,69,59,53,421,,67
AUS,8183,Jason Wallington,Chris Carter,,DNF 94,64,53,79,79,66,435,,68
GBR,8708,Martin Wedge,Scott Allen,RBYC,DNF 94,55,DNC 94,34,47,DNC 94,418,,69
AUS,8648,Jeffrey Robinson,Mick O'Donnell,,DNF 94,DNC 94,DNC 94,57,56,31,426,,70
AUS,8292,Mark Srymgour,Tom Brand,,DNF 94,67,58,78,76,71,444,,71
AUS,8498,Edward Cox,Brad Clarke,SKMD,DNF 94,DNC 94,DNC 94,40,56,51,429,,72
DEN,8807,Tom Bøjland,Phillip Christiani,Farum,DNF 94,DNC 94,DNC 94,27,22,DNC 94,425,,73
AUS,7283,David Meehan,Cameron Dibb,,DNF 94,60,DNC 94,DNC 94,51,50,443,,74
AUS,8524,Nigel Lott,Ian Gregg,RQYS,DNF 94,DNC 94,DNC 94,DNC 94,50,28,454,,75
AUS,8272,Jay Brown,Dave Delaine,,DNF 94,DNC 94,DNC 94,67,68,46,463,,76
AUS,8182,Mark Fischer,Alex Whishaw,,DNF 94,DNC 94,54,77,81,73,473,,77
USA,7156,Aaron Ross,Nicholas Hancock,,DNF 94,DNC 94,DNC 94,53,65,67,467,,78
GBR,8460,Martin Goult,Gordon Russell,Burgh.,DNF 94,47,DNC 94,38,DNC 94,DNC 94,461,,79
GBR,8556,Mike Hart,Chris Gowers,Shotley,DNC 94,DNC 94,DNC 94,DNC 94,64,26,466,,80
GBR,8464,David Hitchcock,Ian Nicholson,,DNC 94,DNC 94,DNC 94,44,48,DNC 94,468,,81
AUS,8605,Nick Murray,Matthew Champtaloup,,DNF 94,DNC 94,DNC 94,73,70,58,483,,82
AUS,8783,Fletcher Kennedy,Ben Greenhough,,DNF 94,DNC 94,DNC 94,70,73,65,490,,83
GBR,8705,Simon Lake,Thoralf Greger,P.Cambs,DNF 94,DNC 94,DNC 94,36,78,DNC 94,490,,84
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,DNC 94,DNC 94,DNC 94,DNC 94,31,DSQ 94,501,,85
CAN,8755,Brian Trainor,Richard McDonald,,DNF 94,DNC 94,DNC 94,81,85,74,522,,86
AUS,7534,Martin Pike,Paul Sanderco,,DNC 94,DNC 94,DNC 94,DNC 94,74,64,514,,87
ZIM,8481,Kevin O'Connor,Leo Huizenga,,DNF 94,DNC 94,DNC 94,DNC 94,80,72,528,,88
AUS,8668,David Perlman,Ian Jenkins,,DNF 94,DNC 94,DNC 94,DNC 94,83,70,529,,89
AUS,8606,Adrian Cooper,Amy Cooper,,DNF 94,DNC 94,51,DNC 94,DNC 94,DNC 94,521,,90
AUS,8696,Carter Jackson,Will McDonald,MHYC,DNC 94,52,DNC 94,DNC 94,DNC 94,DNC 94,522,,91
USA,8578,Allan Staley,Paul Von Grey,,DNF 94,DNC 94,DNC 94,DNC 94,84,76,536,,92
GBR,8435,Patrick McGale,Michael Nolan,QMSC,DNC 94,65,DNC 94,DNC 94,DNC 94,DNC 94,535,,93
