 Boat No,Helm,Crew,Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Position
GBR 8708,Martin Wedge,Scott Allen,,62,67,52,61,65,23,31,41,52,454,322,55
NZL 8044,Ben Duncan,Colin Spence,Narcotic,29,51,68,40,67,57,62,55,28,457,322,56
AUS 8811,Matthew Hansen,Shane Attwell,Crimson Autograph,44,43,(99 DNF),34,47,55,64,39,65,490,326,57
AUS 8399,Bill Cuneo,Luke White,Spaceframe Buildings,50,48,49,33,54,61,49,51,47,442,327,58
AUS 8739,Ian Dunn,David Horsfall,Show Me the Money,36,39,48,56,39,65,57,64,66,470,339,59
AUS 8588,Murray Smith,Michael Hughes,Project,55,(99 DNF),27,32,81,40,60,72,58,524,344,60
AUS 8524,Nigel Lott,Ian Gregg,Maroon Magic,65,40,58,(99 DSQ),73,69,50,43,27,524,352,61
AUS 8345,Renee de Voogd,Anthony Dean,Galaxie,67,33,65,49,75,37,78,47,54,505,352,62
AUS 8628,Brian Robinson,Paul Harris,Grumpy Old Men,(99 DNF),81,51,52,55,52,37,38,67,532,352,63
AUS 8498,Edward Cox,Brad Clarke,AUS 8498,46,61,59,42,28,(99 DNF),65,69,59,528,360,64
USA 8808,Evert Meyer,Jeff Nelson,Assegaai,39,54,(99 DSQ),39,35,75,72,60,70,543,369,65
AUS 8783,Fletcher Kennedy,Ben Greenhough,Lucy Furr,69,58,86,51,79,32,53,46,73,547,382,66
AUS 8781,Earle Alexander,Dustin Carlsson,Audit Services International,56,55,39,59,74,67,55,65,60,530,389,67
AUS 8648,Jeffrey Robinson,Mick O'Donnell,www.watzhout.com.au,49,63,61,60,62,62,85,81,49,572,406,68
GBR 8726,Martin Stainsby,Steve Watson,Black Pig,(99 DNF),76,60,43,60,(99 DNF),63,70,57,627,429,69
AUS 8041,Ben Hunter,Ben Amos,Lunarsea,53,65,63,47,80,73,66,77,64,588,431,70
USA 8616,Dave Chatham,Graham Schelter,Pink Taco,(99 DNF),62,(99 DNC),62,63,46,70,73,56,630,432,71
USA 7156,Aaron Ross,Nicholas Hancock,Money Shot,60,78,70,74,78,38,45,76,(99 DNC),618,441,72
