Nation,Sail  NO,Skipper,Crew,Yacht Club,1,2,3,4,5,Boat,Total,Pos
USA,9004,Eric Anderson,,YCYC,1,2,1,2,3,N=1,9,1
CAN,9009,Robert Tennant,,RVicYC,3,1,4,1,4,,13T,2
USA,907*,Mike Holt,,Santa Cruz YC,2,4,2,3,2,IO Integration,13T,3
USA,9082,Jeff Miller,,SCYC,5,3,3,4,1,Miracle,16,4
USA,8680,Evan Diola,,SCYC,7,7,6,6,5,Dog N pony,31,5
USA,8084,Aaron Ross,,Santa Cruz Yacht Club,6,6,5,5,11/DNS,Rob's Olde Boat,33,6
USA,8857,Mark Christensen,,SCYC,4,5,11/DNS,11/DNC,11/DNC,,42,7
USA,7877,Steve Anderes,,SSS,8,8,11/DNF,11/DNC,11/DNC,Spiff Rides Again.,49,8
USA,8967,Philippe Kahn,,SCYC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,Pegasus Racing,55T,9
USA,8937,Tim Murphy,,TI,11/DNS,11/DNS,11/DNS,11/DNC,11/DNC,,55T,9
