Nation,Sail NO,Helm,Crew,Yacht Club,1,2,3,4,5,6,7,8,9,10,Boat,Total,Pos
USA,9095,Macy Nelson,Russell Miller,West River Sailing Club,2,2,1,1,1,3,1,1,[4],1,Highway 95 Revisited,13,1
USA,8715,Ethan Bixby ,Chris Brady,SPYC,1,1,[2],2,2,1,2,2,1,2,Pressure Drop,14,2
IRL,8018,Peter Scannell,Andrew Forman,Region 1 505,[10/DNF],4,5,6,3,2,6,3,2,5,,36,3
USA,8841,Ali Meller,Mike Coe,Severn Sailing Association,3,[7],3,4,6,7,5,4,5,3,Swagman,40,4
USA,7606,Brendan Connell,Patrick O'Bryan,SSA,5,[8],7,3,5,6,3,5,3,6,Battleship,43,5
CAN,9138,Barney Harris,Marek Balinski,OHCC,[10/DNS],3,4,5,4,4,4,7,10/DNC,4,Plastic Surgery Disaster,45,6
USA,8593,Nathaniel Plant ,,saint pete sailing center,4,6,[10/DNS],10/DNS,7,5,7,6,6,7,505,58,7
USA,8766,Ian Conners ,,Severn Sailing Association,6,5,6,7,8,[10/DNF],10/DNS,10/DNS,10/DNS,10/DNS,The Shocker,72,8
USA,8814,Lin Robson,,SPSC,[10/DNS],10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,Sojourner,90,9
