Nation,Sail No,Helm,Crew,Club,1,2,3,4,Total Points,Pos
USA,8841,Alexander Meller,Carlos Linares,SSA,3,4,1,1,9,1
USA,9095,Russell Miller,Sean Harr (Saturday) / Macy Nelson (Sunday),West River SC,2,2,3,3,10,2
USA,9003,Jesse Falsone,John Tihansky,SSA,4,1,2,6,13,3
USA,88*,Jimmy Praley,Geoff Gales,SSA,1,5,6,4,16,4
CAN,9138,Barney Harris,Marek Balinski,prsa,8/DNC,3,4,2,17,5
USA,8850,Douglas Watson,Andy Forman,Outer Harbour Centreboard Club,5,6,5,5,21,6
USA,8244,Paul Andron,,SSA,8/DNF,7,8/DNC,8/DNC,31,7
