Nation,Sail,Skipper,Crew,Club,1,Total Points,Pos
USA,9095,Catherine Brady,,Severn Sailing Association,2/RDG,2,1
USA,7200,Alexander Meller,,Severn Sailing Association,4/RDG,4,2
USA,9003,Jesse Falsone,,Severn Sailing Association,6/RDG,6,3
USA,19*,Gretchen Esbensen,,Severn Sailing Association,16/DNS/RDG,16,4T
USA,88*,Jimmy Praley,,Severn Sailing Association,16/DNF/RDG,16,4T
USA,7148,Eric Konieczynski,,Severn Sailing Association,16/DNF/RDG,16,4T
USA,8244,Patrick Smiley,,Severn Sailing Association,16/DNF/RDG,16,4T
