Nation,Boat no,Driver,Crew,Name,R1,R2,R3,R4,R5,R6,Points,Pos
USA,7771,Howard Hamlin,Mike Martin,Team McLUBE,1,1,1,3,1,1,8,1
USA,,Mike Holt,Jay Kuncl,Woody,2,3,2,2,3,4,16,2
USA,7875,Jeff Miller,Bruce Heckman, ,3,2,DNC,1,4,2,25,3
USA,,Danny Thompson,Uli Coblens, ,6,DNC,3,5,5,3,35,4
USA,8084,Thad Lieb,Steve Bartz, ,DNC,4,5,8,12,7,49,5
USA,,Mark Adams,Craig Perez,Dirty Harry,5,DNC,DNC,7,6,6,50,6
USA,,Bruce Edwards,Matt Sanders,Euro Trash,DNC,DNC,DNC,6,2,5,52,7
USA,,?,Mike Donnelly,Yellow Hull,7,DNC,4,11,9,9,53,8
USA,8593,John Backsin,Mike Smith,11-poor,4,DNC,DNC,4,7,DNC,54,9
USA,,Terry Neff,Bob Noyes,Rocket Science,DNC,DNC,DNC,9,8,8,64,10
USA,7300,Craig Collins,Ken Richards,TooB,8,DNC,DNC,12,11,DNC,70,11
USA,,?,?,Unregistered,DNC,DNC,DNC,10,10,13,72,12
